i,K,obj_val
33.0,2.0,0.2047564839737348
33.0,3.0,0.18267639606541208
33.0,4.0,0.16586779178531735
33.0,5.0,0.15271879370819708
33.0,6.0,0.1421880339013214
33.0,7.0,0.13357529309475064
33.0,8.0,0.12639853961499342
33.0,9.0,0.12031922365259573
33.0,10.0,0.1150946355839707
33.0,11.0,0.11054733782269532
33.0,12.0,0.10654519455396477
33.0,13.0,0.10298810862483743
33.0,14.0,0.09979905000157258
33.0,15.0,0.09691787783279066
33.0,16.0,0.0942970120549449
33.0,17.0,0.09189835071252228
33.0,18.0,0.08969104035815495
33.0,19.0,0.08764984002149573
33.0,20.0,0.08575390445816294
33.0,21.0,0.08398586781076589
33.0,22.0,0.08233114541281589
33.0,23.0,0.08077739599750217
33.0,24.0,0.0793141032519113
34.0,1.0,0.2965443828516232
34.0,2.0,0.21633703831093953
34.0,3.0,0.1913521371633014
34.0,4.0,0.17268762190916764
34.0,5.0,0.1583395620775649
34.0,6.0,0.14701642378762803
