i,K,obj_val,grad_sq_norm
81.0,1.0,32.75596214555545,190.48905959677847
82.0,1.0,39.91424629682347,246.982251595513
83.0,1.0,37.3071151942874,205.44450917669153
84.0,1.0,37.125322653230576,229.35207254185678
85.0,1.0,39.972253603712446,234.82799659273223
86.0,1.0,38.20655609868955,214.91640131181444
87.0,1.0,38.58507417594165,245.0992676510974
88.0,1.0,41.46349570972102,238.07151531815123
89.0,1.0,40.84733235400509,268.2756441668455
90.0,1.0,37.59659057223692,219.16591962444375
91.0,1.0,40.69857974122543,242.35171885452687
92.0,1.0,38.9233105517138,253.51307357322335
93.0,1.0,39.75170811979927,249.17051538958705
94.0,1.0,38.00152475608046,236.96184512246936
95.0,1.0,39.19557330854917,223.54592317972129
96.0,1.0,36.793006708457156,211.84324476295495
97.0,1.0,36.12370235256021,209.15361268876157
98.0,1.0,37.061929179182705,225.55708979913206
99.0,1.0,40.66724132563076,238.10897428137912
0.0,2.0,20.687783103191805,93.04821728700297
1.0,2.0,17.79413206263135,77.66308234662934
2.0,2.0,20.513899104340066,87.81434202138325
3.0,2.0,19.759028288382982,85.60928523507333
4.0,2.0,19.626154895641402,77.79306905131891
5.0,2.0,20.440198020784337,88.37044693664913
6.0,2.0,20.460256518782224,89.8191240354339
7.0,2.0,21.02547403724182,80.20461960982264
8.0,2.0,18.714942940964608,83.08595758754059
9.0,2.0,20.23407152106345,80.86782085191818
10.0,2.0,19.743073997632838,82.87132612663517
11.0,2.0,20.094102337892895,84.0545569832311
12.0,2.0,22.120438934893393,95.1434618612283
13.0,2.0,19.048546285733792,77.05749915449123
14.0,2.0,21.046066781536144,91.79775183146721
15.0,2.0,22.595962851969485,93.64856220931938
16.0,2.0,20.831460516601936,91.71816734170758
17.0,2.0,21.428135470183154,84.9724591007823
18.0,2.0,21.409319129825583,104.31883159780914
19.0,2.0,19.074782992405346,81.31933876768717
20.0,2.0,21.245634528084423,93.02443120806868
21.0,2.0,22.26286769407466,96.88794216069404
22.0,2.0,22.100574552217243,89.28662841809394
23.0,2.0,18.628165731580776,82.58695968008317
24.0,2.0,18.73972812754438,77.16643718636372
25.0,2.0,22.159319498277608,91.22761344135505
26.0,2.0,20.494662445229615,86.82701187933162
27.0,2.0,21.005908969359727,88.29048295717025
28.0,2.0,21.203928210503705,96.89432279169208
29.0,2.0,20.981243730784588,86.67296743713868
30.0,2.0,19.32554158940296,81.75039913227043
31.0,2.0,21.20310403294238,88.9676030964487
32.0,2.0,19.170051915101137,80.87612114367867
33.0,2.0,22.21931849752641,97.73952724619686
34.0,2.0,21.133304904182445,90.58682431543275
35.0,2.0,21.324639083268167,90.56449446073789
36.0,2.0,20.573509764452254,87.25905574746055
37.0,2.0,20.25851208843222,90.72147266851779
38.0,2.0,20.458251457184797,100.92000706775524
39.0,2.0,19.141480103190993,77.47844639647363
40.0,2.0,20.349349678133102,87.13304367667025
41.0,2.0,21.302062255937674,92.56522472151607
42.0,2.0,22.02427491679636,100.14483457571295
43.0,2.0,20.18916107917749,86.38896367308871
44.0,2.0,20.001228056700203,83.34104027511123
45.0,2.0,21.19452249652846,91.52165269604708
46.0,2.0,20.34993684821303,89.87263255280723
47.0,2.0,22.396436129866025,91.45718000706864
48.0,2.0,19.53446477848107,84.09715433855571
49.0,2.0,20.820986151351065,90.74303785390707
50.0,2.0,19.36990788160968,84.45313855626033
51.0,2.0,19.378767972909326,80.06044926294794
52.0,2.0,20.46930069290301,86.04268334642296
53.0,2.0,19.375606501864898,79.35321824738365
54.0,2.0,20.198020364841373,85.86878398604215
55.0,2.0,19.438439311810985,92.44260166676955
56.0,2.0,20.591911579287594,81.38093206353214
57.0,2.0,20.750860747006314,92.27453152902584
58.0,2.0,18.187569395157702,75.59912386360656
59.0,2.0,20.634641242606254,81.84313842582243
60.0,2.0,21.374758707997895,88.00806593404081
61.0,2.0,21.187214193255745,91.89035778887634
62.0,2.0,19.5150540654227,83.49530966756711
63.0,2.0,20.766837029752622,89.91968836759182
64.0,2.0,22.414456257581705,100.06407696465001
65.0,2.0,20.669533143744047,88.00551598432227
