i,K,obj_val,grad_sq_norm,opt_dist_sq_norm
4.0,47.0,0.005505204349060727,4.982685475942196e-05,19.064224705575818
4.0,48.0,0.0052485858685010055,4.488961115203737e-05,18.794933796237164
4.0,49.0,0.005016189998482321,4.044765877351672e-05,18.532537583156294
4.0,50.0,0.004807006451694144,3.651577653433182e-05,18.27660240354677
5.0,1.0,10.241463272214888,5.900323609944031,179.45408375703778
5.0,2.0,5.542177203254836,2.268638147364155,144.38855427812226
5.0,3.0,3.2070450677340774,0.9261247919595927,119.70086129774087
5.0,4.0,1.9854727197955624,0.4243624497854866,101.72560530520293
5.0,5.0,1.2893135320163909,0.21757158208203334,88.19899024215351
5.0,6.0,0.8635873400299953,0.11875195040213944,77.82097998554822
5.0,7.0,0.5949011513562479,0.06632401578257599,69.77398273195428
5.0,8.0,0.42460827892353914,0.03801968625138883,63.46350545932155
5.0,9.0,0.31635049179606994,0.023124334893681715,58.42491823910461
5.0,10.0,0.2460870105568375,0.015275528060063518,54.301184395997495
5.0,11.0,0.19859688451388963,0.010856526156591077,50.83190388086025
5.0,12.0,0.16485576515392317,0.008109289101364044,47.83570300361299
5.0,13.0,0.1396670939726486,0.00626865944626578,45.18950899507852
5.0,14.0,0.11998445897922892,0.004977185513895473,42.81081290308971
5.0,15.0,0.10396722779145023,0.004029438579291375,40.64485772795549
5.0,16.0,0.0904986482354571,0.0032962308905802183,38.65579198276081
5.0,17.0,0.07891872016310525,0.0027012484268794075,36.820378641441074
5.0,18.0,0.06885099396685522,0.0022041065650846266,35.123374920811266
5.0,19.0,0.06008242837494465,0.001785395326641875,33.55415831785355
5.0,20.0,0.05248214944789486,0.0014359334922544262,32.104373686048916
5.0,21.0,0.04595039740544869,0.0011502435107556097,30.76642943459622
5.0,22.0,0.04039017611529935,0.0009231377629670428,29.53267675954637
5.0,23.0,0.03569506857815553,0.0007482728944405237,28.395105216108476
5.0,24.0,0.03174785281014131,0.0006177998742139657,27.345393744715945
5.0,25.0,0.02842576992489918,0.0005226546083706425,26.375169622927864
5.0,26.0,0.02560911113336178,0.0004533290943569943,25.476346899995484
5.0,27.0,0.023190172306132444,0.0004009453803470609,24.64144111398239
5.0,28.0,0.021080076194432414,0.00035829214321959126,23.8637898577753
5.0,29.0,0.019211896761403623,0.00032045860010949197,23.137646855642068
5.0,30.0,0.017539813216747815,0.00028488572163405776,22.458153773724156
5.0,31.0,0.016035187547410828,0.0002509092444100645,21.821221022401534
5.0,32.0,0.014681093882090915,0.0002190321604445306,21.223361583820754
5.0,33.0,0.013466847766504917,0.00019018559237327903,20.661520707823556
5.0,34.0,0.012383667850161388,0.00016516197446938413,20.13293329503359
5.0,35.0,0.011422013031220942,0.00014430150798874167,19.635025480696672
5.0,36.0,0.010570587063503617,0.0001274252625155836,19.165362303201825
5.0,37.0,0.00981661367020055,0.00011395072820149179,18.72163269229348
5.0,38.0,0.009146804785177518,0.0001030989522699246,18.301657741355935
5.0,39.0,0.008548461348544433,9.410389334488391e-05,17.903408043426804
5.0,40.0,0.008010306127106277,8.635897664684001e-05,17.52501928286063
5.0,41.0,0.007522871665707365,7.947321174897434e-05,17.164800252181617
5.0,42.0,0.007078472008965053,7.324637560104531e-05,16.82123210822215
5.0,43.0,0.006670915455583505,6.759752469611912e-05,16.49296074815158
5.0,44.0,0.006295147200501336,6.248739431705584e-05,16.178785302316623
5.0,45.0,0.005946963552169914,5.786501853772454e-05,15.877645293688781
5.0,46.0,0.005622855117500221,5.365014969754771e-05,15.58860780005137
5.0,47.0,0.005319958641802425,4.974530901003937e-05,15.310854775066856
5.0,48.0,0.0050360545032216535,4.606130243731029e-05,15.043670043714942
5.0,49.0,0.004769545371524673,4.253958051333889e-05,14.786425495863995
5.0,50.0,0.004519379062692413,3.916129693374992e-05,14.538566454310903
6.0,1.0,11.310435869254915,6.151568915014967,196.7701885574416
6.0,2.0,6.35339281177229,2.499086955061069,157.6800139954369
6.0,3.0,3.754824714156879,1.065476473246156,129.21180967706846
6.0,4.0,2.3414353103503727,0.5008047449408455,108.12318471843703
6.0,5.0,1.518043071534837,0.25849457322873476,92.16929600214937
6.0,6.0,1.0110891090779621,0.1406497188111022,79.9500859346317
6.0,7.0,0.6915064384264541,0.07835869101525393,70.52359393958885
6.0,8.0,0.4893877342718497,0.04493191669584182,63.181372983639214
6.0,9.0,0.36107480443757467,0.02732153573735211,57.36688551808323
6.0,10.0,0.27794167563881383,0.018053745898007525,52.653241784989426
6.0,11.0,0.22180548735248032,0.012920439308627846,48.72925561106284
6.0,12.0,0.1817431586861767,0.009790556288637427,45.37907282172663
6.0,13.0,0.15146023951777976,0.007677204906191193,42.4584914199992
6.0,14.0,0.1274013490415048,0.006120165027565347,39.873573845274485
6.0,15.0,0.10759551640132128,0.004886795172305345,37.56389197117587
6.0,16.0,0.09099234351802482,0.0038626768246592586,35.49011048899037
6.0,17.0,0.07704958085378394,0.003006794224213994,33.62498238326535
6.0,18.0,0.06545264224193384,0.002314621832243291,31.94717337059389
6.0,19.0,0.055937952463491196,0.0017852391591953345,30.437596246117565
6.0,20.0,0.04821426150753374,0.0014032408471369247,29.077834573607095
6.0,21.0,0.041959422003039246,0.00113813540337122,27.85000028163206
6.0,22.0,0.03685468648269075,0.0009538841685697544,26.737281752332176
6.0,23.0,0.03262153777637166,0.0008189737622184055,25.72457848562362
6.0,24.0,0.02904211306332213,0.0007115723750488737,24.798886408169412
6.0,25.0,0.025960761617264648,0.0006195134874436018,23.949351351791126
6.0,26.0,0.023273333940180906,0.0005375464839847824,23.167063155517916
6.0,27.0,0.020912144298256188,0.00046425535138990795,22.444713989775966
6.0,28.0,0.018831934773911235,0.0003998002016660661,21.77623041484991
6.0,29.0,0.016999172406544465,0.00034458426871137676,21.156450768648927
6.0,30.0,0.015385158030925735,0.00029856657906110533,20.580882037153224
6.0,31.0,0.013962594339906402,0.0002609993972398194,20.045541487234573
6.0,32.0,0.012704858869152716,0.00023049334294662107,19.546868787558324
6.0,33.0,0.011586951550811542,0.00020532423290986533,19.081683858851424
6.0,34.0,0.010586987474081396,0.00018383451117835625,18.647164151155042
6.0,35.0,0.009687302187616853,0.00016475660262372713,18.240821018973936
6.0,36.0,0.008874688581250548,0.00014734398556815446,17.860464936031516
6.0,37.0,0.008139789876360024,0.00013130336320696807,17.504159134222594
6.0,38.0,0.007476015212480804,0.00011661046827171898,17.170167539254518
6.0,39.0,0.006878422317726239,0.00010331949774827233,16.856904533272385
6.0,40.0,0.006342872951622872,9.144422971923598e-05,16.562892194615383
6.0,41.0,0.005865544298506316,8.093059370405772e-05,16.28672741065601
6.0,42.0,0.005442702715915568,7.169188146480845e-05,16.02705858323991
6.0,43.0,0.005070581345745802,6.365840477036635e-05,15.782570494578122
6.0,44.0,0.00474524327827612,5.680256718026429e-05,15.551976132025256
6.0,45.0,0.004462404541686972,5.1124818808086045e-05,15.334015081761935
6.0,46.0,0.004217275451640723,4.661045289517223e-05,15.12745862102117
6.0,47.0,0.004004514335758251,4.318129999190085e-05,14.931121363606923
6.0,48.0,0.0038183650315765675,4.0666939418164034e-05,14.74387827163743
6.0,49.0,0.0036529863310347504,3.880991220754304e-05,14.564684490754898
6.0,50.0,0.0035029091044755673,3.730461505663173e-05,14.392594415643087
7.0,1.0,11.696007764354704,7.795501943910924,177.55402150780952
7.0,2.0,5.608115574375904,2.6745849951778475,138.56549239430166
7.0,3.0,2.94690289345337,0.9160891847492035,114.20665932437502
7.0,4.0,1.7778644177602128,0.35361123074759304,97.84014208334897
7.0,5.0,1.206557153037733,0.17178366617509122,85.680378957229
7.0,6.0,0.8740640972491521,0.10133420962078658,75.9300751776818
7.0,7.0,0.6510783210762054,0.06432960260058783,67.81073114113981
7.0,8.0,0.4922231771769656,0.04132252172160282,60.960635823478455
7.0,9.0,0.3775370976270841,0.026938199822557636,55.156002523532656
7.0,10.0,0.2942175964749343,0.018190366762715782,50.2184667833118
7.0,11.0,0.23285065050407638,0.012781570193661265,45.99729594805187
7.0,12.0,0.18687339106156076,0.0092248534884396,42.36811730736566
7.0,13.0,0.15197887428964277,0.006756950756173059,39.22985231157005
7.0,14.0,0.12529975836340063,0.005021980104274229,36.49951515222622
7.0,15.0,0.10477929402231305,0.003814880468271622,34.10784503775716
7.0,16.0,0.08885258067584302,0.0029797569909295763,31.996769840511163
7.0,17.0,0.07631679961343926,0.0023967006414086544,30.118046969218334
7.0,18.0,0.0662601878557999,0.0019817014816795975,28.432278345802306
7.0,19.0,0.05800236832941516,0.0016775073879392033,26.907951558745122
7.0,20.0,0.051046320146185944,0.0014434003817434943,25.520448686833248
7.0,21.0,0.04504379805084866,0.001250432372211262,24.251009981331986
7.0,22.0,0.039767369801781,0.0010802752177475157,23.085634338776824
7.0,23.0,0.03508245633109471,0.0009239282879024098,22.013937007343284
7.0,24.0,0.030918509327298057,0.0007791062380250753,21.028037620582463
7.0,25.0,0.02724229880045141,0.0006471966751717051,20.12157234370965
7.0,26.0,0.02403632338595319,0.0005308060705598445,19.28890569769297
7.0,27.0,0.02128364798566997,0.00043220376911177577,18.524580171559357
7.0,28.0,0.018959005559492634,0.0003524967152177578,17.823004358878723
7.0,29.0,0.01702528101559777,0.00029130906248652167,17.17835154098278
7.0,30.0,0.01543420065976343,0.000246836762334025,16.584621559674236
7.0,31.0,0.014129877017888075,0.00021619033987062855,16.03580893710012
7.0,32.0,0.01305377912714352,0.0001959114475815201,15.52611921749492
7.0,33.0,0.01214980408734076,0.00018251925781794407,15.050182633063063
7.0,34.0,0.011368441590834265,0.00017295799889993592,14.603227297011701
7.0,35.0,0.010669464763482055,0.00016487232000214253,14.181189966058756
7.0,36.0,0.010023016760031042,0.00015670140368097114,13.780757669192335
7.0,37.0,0.009409290661226092,0.000147628705881034,13.399345716716988
7.0,38.0,0.008817181220515887,0.00013744244300246706,13.035025623049169
7.0,39.0,0.008242337331938163,0.00012635801219206872,12.686420296471708
7.0,40.0,0.00768500756191734,0.00011483901731837174,12.352584195112735
7.0,41.0,0.007147992148529931,0.00010343856426504717,12.032884023032281
7.0,42.0,0.006634923839972037,9.267211801787763e-05,11.726891914795054
7.0,43.0,0.006149010984180646,8.292779151385194e-05,11.434298742430455
7.0,44.0,0.005692293324419883,7.441703694705527e-05,11.154850821338936
7.0,45.0,0.005265385506302594,6.716564374640931e-05,10.888309410335461
7.0,46.0,0.004867619504563651,6.104048378635023e-05,10.634429404926303
7.0,47.0,0.004497452280258319,5.5802256330800145e-05,10.39295178889379
