K,eps_idx,eps,alpha_idx,alpha,mro_sol,solvetime,dro_feas_sol
10.0,2.0,0.0031622776601683794,0.0,0.01,0.24366783398719302,38.160223158,0.24366783398719302
10.0,2.0,0.0031622776601683794,1.0,0.05,0.07768408350025545,35.690032475,0.07768408350025545
10.0,3.0,0.005623413251903491,0.0,0.01,0.35178010571499835,38.110020497,0.35178010571499835
10.0,3.0,0.005623413251903491,1.0,0.05,0.11247247919260975,40.274442733,0.11247247919260975
10.0,4.0,0.01,0.0,0.01,0.4717839228104293,40.572525653,0.4717839228104293
10.0,4.0,0.01,1.0,0.05,0.16775067723907292,40.85153556,0.16775067723907292
10.0,5.0,0.01778279410038923,0.0,0.01,0.5930607651822156,45.138642004,0.5930607651822156
10.0,5.0,0.01778279410038923,1.0,0.05,0.2513332254648369,39.141707527,0.2513332254648369
10.0,6.0,0.03162277660168379,0.0,0.01,0.6641621318814328,47.77919046,0.6641621318814328
10.0,6.0,0.03162277660168379,1.0,0.05,0.3531443477669964,41.650355986,0.3531443477669964
10.0,7.0,0.056234132519034905,0.0,0.01,0.7053353764689692,51.727251589,0.7053353764689692
10.0,7.0,0.056234132519034905,1.0,0.05,0.45992540313594055,44.19440949,0.45992540313594055
10.0,8.0,0.1,0.0,0.01,0.7082289866832083,46.281178922,0.7082289866832083
10.0,8.0,0.1,1.0,0.05,0.5449062375925962,46.186603033,0.5449062375925962
11.0,0.0,0.001,0.0,0.01,0.08747925997445866,45.645737861,0.08747925997445866
11.0,0.0,0.001,1.0,0.05,0.02722215313917435,52.546084855,0.02722215313917435
11.0,1.0,0.0017782794100389228,0.0,0.01,0.13554373754500273,53.364409615,0.13554373754500273
11.0,1.0,0.0017782794100389228,1.0,0.05,0.03945296033366371,51.765179087,0.03945296033366371
11.0,2.0,0.0031622776601683794,0.0,0.01,0.2096333955767702,54.58797442,0.2096333955767702
11.0,2.0,0.0031622776601683794,1.0,0.05,0.05940417315025874,52.075904291,0.05940417315025874
11.0,3.0,0.005623413251903491,0.0,0.01,0.3045584372751556,51.00469708,0.3045584372751556
11.0,3.0,0.005623413251903491,1.0,0.05,0.09173585018681925,53.790698454,0.09173585018681925
11.0,4.0,0.01,0.0,0.01,0.40567159774865424,55.06271135,0.40567159774865424
11.0,4.0,0.01,1.0,0.05,0.1430716738051281,53.190644389,0.1430716738051281
11.0,5.0,0.01778279410038923,0.0,0.01,0.5048770540194644,61.281537816,0.5048770540194644
11.0,5.0,0.01778279410038923,1.0,0.05,0.21911738764053154,53.465233587,0.21911738764053154
11.0,6.0,0.03162277660168379,0.0,0.01,0.5612113789949402,84.413627199,0.5612113789949402
11.0,6.0,0.03162277660168379,1.0,0.05,0.3063525978831739,55.495957186,0.3063525978831739
11.0,7.0,0.056234132519034905,0.0,0.01,0.5972452208362752,57.765056417,0.5972452208362752
11.0,7.0,0.056234132519034905,1.0,0.05,0.39557331330713047,56.747782164,0.39557331330713047
11.0,8.0,0.1,0.0,0.01,0.6043589757968616,56.83350697,0.6043589757968616
11.0,8.0,0.1,1.0,0.05,0.46276529823530554,62.844469168,0.46276529823530554
12.0,0.0,0.001,0.0,0.01,0.07585943275692346,62.375378756,0.07585943275692346
12.0,0.0,0.001,1.0,0.05,0.021227890383568798,67.227284356,0.021227890383568798
12.0,1.0,0.0017782794100389228,0.0,0.01,0.12012658416671601,65.464911685,0.12012658416671601
12.0,1.0,0.0017782794100389228,1.0,0.05,0.03253042582896861,62.326017222,0.03253042582896861
12.0,2.0,0.0031622776601683794,0.0,0.01,0.1870324184961526,68.31219565,0.1870324184961526
12.0,2.0,0.0031622776601683794,1.0,0.05,0.050889839842464535,73.12661596,0.050889839842464535
12.0,3.0,0.005623413251903491,0.0,0.01,0.26834466902555104,65.968301399,0.26834466902555104
