iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14
20,1.374356323770338,0.0007653348239756077,0.040902749984525144,12.347956533372376,4.420000000000001e-06,1.249878742202798,1.2498788187942544,1.249878800453985,1.2501212007135893,1.2498789829931094,1.2498788039921018,1.2501212055378568,1.2501212099011605,1.249878806945635,1.250121195240575,1.250121186413226,1.2498788157664746,1.2501212089180926,1.250121150042021,1.250121213073539,-5.2691982873890546e-05,0.28169933280497217,0.43398858186701106,0.5311180070871807,0.598832802921356,0.6488691252193644,0.6875916542260785,0.7184456541856898,0.7436368457411542,0.7646105191364613,0.7823550444337107,0.7975701844008687,0.810765807603442,0.8224308443191546,0.8325843815233089
21,1.3743572857612918,0.0007653405102774232,0.04059962497558445,12.341428534728099,4.600000000000001e-06,1.2498684744281383,1.2498685376074417,1.249868512649904,1.2501314902845198,1.2498687918041276,1.2498685183314,1.2501314454214325,1.2501315362558698,1.2498685208695568,1.2501314771375573,1.250131466155654,1.2498685312635287,1.2501314965442565,1.2501314216888753,1.2501315020468842,-5.717513716698794e-05,0.2816947352107534,0.4339839814877061,0.5311226084685748,0.5988374139511177,0.6488645257932456,0.6875870543327848,0.718441056113024,0.7436322456163998,0.7646059190887822,0.7823504448129922,0.7975655851036669,0.8107612093250584,0.8224354447895301,0.8325843815233089
22,1.3743583163212314,0.0007653464211573682,0.040249250014312565,12.342607676443839,4.78e-06,1.2498578003355503,1.2498578544190326,1.2498578224907344,1.2501421825701622,1.2498581894814684,1.249857830266681,1.250142086663165,1.2501422684459875,1.2498578323571266,1.250142161399,1.2501421493984743,1.2498578441851036,1.2501421877137089,1.2501420931623102,1.2501421941896746,-6.183939475223025e-05,0.2816899578076967,0.43397920125304656,0.5311273899151187,0.5988422042146215,0.6488597463494072,0.6875822744520198,0.7184362782705142,0.7436274654791035,0.7646011390926446,0.7823456654193605,0.7975608059273319,0.8107564325151817,0.8224402253445765,0.8325843815233089
23,1.3743594300830497,0.0007653525527786398,0.04060862498590723,12.340878426117422,4.96e-06,1.249846728266396,1.2498467695537496,1.2498467294173807,1.25015327841313,1.2498472063505537,1.2498467398375295,1.2501531228071823,1.2501534114399169,1.249846741271057,1.250153246960206,1.250153233727836,1.2498467547573555,1.2501532820091192,1.250153163749049,1.2501532894428116,-6.667929798974058e-05,0.2816850007726189,0.4339742408395109,0.5311323516979486,0.5988471772779436,0.6488547870976787,0.6875773146904031,0.7184313209446019,0.7436225053289384,0.7645961790515127,0.7823407060732877,0.7975558468368892,0.8107514762572343,0.8224451860018076,0.8325843815233089
24,1.3743615277458323,0.0007653589004744044,0.040045499976258725,12.342429979454668,5.140000000000001e-06,1.2498352741018257,1.249835284606309,1.2498352326511173,1.25016477842303,1.2498358705936048,1.2498352472029377,1.2501645340507108,1.250164982954599,1.2498352472983645,1.2501647324707565,1.2501647172925343,1.2498352631693803,1.2501647788395072,1.2501646312817443,1.250164787662456,-7.168519000119658e-05,0.2816798649855286,0.4339691000514073,0.5311374941679613,0.5988523367395887,0.6488496483143565,0.6875721750346053,0.7184261849427558,0.7436173651422996,0.7645910388228153,0.782335566858008,0.7975507080076433,0.8107463401176759,0.8224503266756644,0.8325843815233089
25,1.3743639301920652,0.0007653654686487144,0.040838457993231714,12.339907927720903,5.320000000000001e-06,1.2498234207400796,1.2498233989116596,1.2498233329481159,1.250176682117839,1.249824156012858,1.249823352167693,1.2501763368154866,1.2501769692241822,1.2498233507104957,1.250176618609918,1.2501766015060256,1.249823369345122,1.2501766788981292,1.2501764958637094,1.2501766895288255,-7.686797230657014e-05,0.28167455010894626,0.43396377928182617,0.5311428170796285,0.5988576795683185,0.6488443297720525,0.6875668555421898,0.7184208696300675,0.7436120449122811,0.7645857184980209,0.7823302477459,0.7975453893723623,0.8107410251619263,0.8224556475652216,0.8325843815233089
26,1.3743665984396836,0.0007653722593502052,0.040256625041365623,12.335062683616973,5.500000000000001e-06,1.2498111493607296,1.2498111111047396,1.2498110310664734,1.250188988435386,1.2498120485784248,1.2498110543905814,1.2501885534537518,1.250189363006898,1.2498110518530579,1.2501889072412606,1.2501888882512369,1.2498110731129235,1.2501889831529918,1.2501887582891933,1.2501889959576622,-8.223921817328977e-05,0.28166905550412513,0.43395827881884996,0.5311483199642283,0.5988632025249582,0.648838831090792,0.6875613561164365,0.7184153745169789,0.7436065446713296,0.7645802184076568,0.7823247488702261,0.7975398909642107,0.8107355331080023,0.8224611491784499,0.8325843815233089
27,1.3743695816852464,0.0007653792700533193,0.04074254201259464,12.3369482507978,5.680000000000001e-06,1.2497984735535548,1.249798422285102,1.2497983260682253,1.2502016980036694,1.2497995639373602,1.249798354255492,1.2502011725867492,1.2502021734503324,1.2497983503441754,1.250201596797374,1.2502015742511612,1.249798374950358,1.2502016910231932,1.2502014165056579,1.250201706623918,-8.779017213794655e-05,0.2816633816787894,0.4339525981079777,0.5311540030565783,0.5988689080395957,0.64883315263127,0.6875556770120674,0.7184097002573991,0.7436008643793042,0.7645745383930684,0.7823190701163029,0.7975342128657881,0.8107298631682449,0.8224668315021902,0.8325843815233089
28,1.3743729174205768,0.0007653864987150718,0.04808249999769032,12.337053770678995,5.860000000000001e-06,1.2497853967249288,1.2497853327526183,1.2497852181176152,1.2502148116988856,1.2497867123407798,1.249785251830941,1.2502141869885257,1.250215409768501,1.2497852460721472,1.2502146860550916,1.2502146596420705,1.2497852749076943,1.2502148027155486,1.250214467811583,1.2502148219809146,-9.351905633366107e-05,0.2816575287632639,0.43394673741411943,0.5311598666735617,0.5988747976846159,0.6488272945171555,0.6875498182823125,0.7184038473591278,0.7435950040178657,0.7645686782802636,0.7823132115525584,0.7975283551835128,0.810724016217461,0.8224726943549268,0.8325843815233089
29,1.3743766575037573,0.0007653939413133217,0.04044495802372694,12.337803498539019,6.0400000000000015e-06,1.2497719336193405,1.249771844635428,1.2497717064624179,1.2502283305465256,1.2497735211800232,1.2497717474297405,1.2502275730769454,1.2502290886450895,1.2497717387604033,1.2502281729568585,1.250228142952169,1.249771772468332,1.2502283177136635,1.2502279089786188,1.2502283422978986,-9.941713998650371e-05,0.2816514979925295,0.4339406966310784,0.531165911326447,0.5988808755246016,0.648821257124239,0.687543779950444,0.7183978165698928,0.743588963555111,0.7645626378597596,0.7823071733251482,0.7975223179557982,0.81071799117286,0.8224787376605378,0.8325843815233089
30,1.374380858823296,0.0007654015973927209,0.04011854197597131,12.337164951762029,6.22e-06,1.2497580744964347,1.2497579585787484,1.2497577912465643,1.2502422540492377,1.2497599896419234,1.2497578410215733,1.2502413492448838,1.2502432117794748,1.249757828507463,1.2502420578328837,1.2502420232526694,1.249757867085429,1.2502422370272226,1.2502417389172045,1.2502422683073908,-0.00010549009610104963,0.2816452898396257,0.4339344758728616,0.5311721367651471,0.5988871404707494,0.6488150403810725,0.6875375622092863,0.7183916081125686,0.7435827430254851,0.7645564172710897,0.782300955385057,0.7975161010533531,0.8107117884144606,0.8224849615769506,0.8325843815233089
