iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
46,3.5031413546726604,0.01001886645072476,0.017059332982171327,28.012807108770602,9.100000000000001e-06,1.2494805774826434,1.249480578004356,1.2494805857679228,1.2494807090169537,1.2494809733619165,1.2505191293251983,1.2494805342759232,1.2494806931543736,1.2505190260078831,1.2494805038620942,1.2505195997003211,1.249480028594211
47,3.5031745243123544,0.010019011699451703,0.01483400003053248,28.01529304788881,9.280000000000001e-06,1.2494598275369293,1.249459827976061,1.2494598365259537,1.249459971892964,1.2494602627384235,1.2505398484482666,1.2494597798100684,1.249459954532119,1.2505397348688847,1.2494597464757726,1.2505403659708494,1.249459224077093
48,3.503208350879358,0.010019159771978285,0.01470791595056653,28.01781157839333,9.460000000000001e-06,1.24943867511003,1.2494386754407716,1.2494386848386552,1.2494388332078272,1.249439152572544,1.2505609676476577,1.2494386224936065,1.249438814250862,1.250560843042381,1.2494385860321449,1.2505615359137023,1.2494380129937293
49,3.503242834426873,0.01001931066871123,0.014982542023062706,28.02041806723653,9.640000000000001e-06,1.249417120205767,1.2494171203940911,1.2494171307041373,1.2494172930094312,1.249417643014947,1.2505824868007884,1.2494170623086471,1.24941727235027,1.250582350376942,1.249417022502812,1.250583109583605,1.2494163951343014
50,3.5032779750038254,0.010019464390129977,0.01453604199923575,28.023035734461264,9.820000000000001e-06,1.249395162819011,1.2493951628324214,1.249395174123083,1.2493953513406324,1.2493957342170448,1.2506044057709482,1.2493950992241412,1.2493953288671968,1.2506042566902855,1.2493950558544629,1.2506050870539172,1.2493943702845598
51,3.5033137726749604,0.010019620936650405,0.014729792019352317,28.025737344892306,1e-05,1.2493728029544602,1.2493728027519366,1.2493728150942203,1.2493730082373826,1.2493734263336005,1.2506267244457447,1.249372733226456,1.2493729838453633,1.2506265618118568,1.2493726860525365,1.2506274683973302,1.2493719382260375
52,3.503350227490982,0.010019777489040354,0.01455133396666497,28.028497765208982,9.999890338174275e-06,1.249350443328023,1.2493504428723934,1.2493504563212616,1.2493506661549758,1.2493511212654034,1.2506490407358162,1.2493503671176787,1.2493506397639653,1.2506488638886657,1.2493503159701282,1.2506498505711428,1.2493495028224515
53,3.5033866829062648,0.010019934044053214,0.014722624968271703,28.031262125652113,9.999561358041869e-06,1.2493280844311956,1.249328083680157,1.2493280982915131,1.2493283255983914,1.2493288195636671,1.250671354096627,1.2493280013711467,1.249328297124729,1.2506711623432678,1.2493279460854323,1.2506722330939204,1.2493270644768428
54,3.5034231381373786,0.010020090598381937,0.014830125030130148,28.034035695806786,9.999013075636806e-06,1.2493057267512486,1.24930572566026,1.2493057414924735,1.2493059870688927,1.249306521769956,1.250693663985191,1.2493056364632598,1.2493059564263367,1.2506934566355448,1.24930557686941,1.250694615515533,1.2493046236036536
55,3.503459592397276,0.010020247148688615,0.01458120800089091,28.0368297950726,9.998245517681596e-06,1.2492833707750433,1.2492833692981251,1.2492833864097328,1.249283651062925,1.2492842284223136,1.2507159698875296,1.2492832728687342,1.249283618169596,1.2507157462276652,1.2492832088017856,1.2507169973731325,1.2492821806273933
