iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3
14,0.10361755124259675,0.042790923775070655,0.0015215830062516034,0.06733748536037786,2.6740000000000005e-05,1.2504347815903698,1.2504350886055313,1.2504351422012892,1.2504351703310106
15,0.09937026247524239,0.04278814869128092,0.0015056669944897294,0.06427091400154175,2.8719999999999996e-05,1.2504989252096397,1.250499241864386,1.2504992939262787,1.2504993211934177
16,0.10733291256759095,0.042785177292514444,0.0015177499735727906,0.06807756517024499,3.07e-05,1.2505675862608217,1.2505679324129906,1.2505680000153163,1.2505680441486948
17,0.1018336378097695,0.0427820140692895,0.0014920419780537486,0.06748918650771471,3.2680000000000006e-05,1.2506407383455749,1.2506410705037458,1.2506411276503366,1.2506411685317236
18,0.10659085957569686,0.04277865408029185,0.0013485419913195074,0.06838881833342442,3.466000000000001e-05,1.2507184281265757,1.2507187563352713,1.2507188221430963,1.250718873414221
19,0.1073032445615933,0.04277509806749428,0.001315416011493653,0.06795666670340696,3.664e-05,1.2508006083733207,1.2508009823746342,1.250801079266382,1.2508011582546903
20,0.1022118502006066,0.042771352416503934,0.0012137920130044222,0.06623635529726753,3.8620000000000006e-05,1.2508871332040763,1.2508876157023419,1.2508877545369597,1.2508878609586407
21,0.10197414068333949,0.042767419666929235,0.0015617499593645334,0.06632751520466033,4.0600000000000004e-05,1.2509780402493587,1.2509785887677234,1.2509787502481744,1.2509788701772337
22,0.1120386196359088,0.042763287848205024,0.001434749981854111,0.06823518685704487,4.2579999999999996e-05,1.2510734855516341,1.251074138854253,1.2510743952138543,1.2510745945711024
23,0.0989069664678059,0.042758977816619755,0.0015508750220760703,0.06531384313901953,4.4559999999999993e-05,1.2511732296628673,1.2511738196880775,1.2511741075936162,1.2511743489470055
24,0.10351129614570338,0.04275447301218173,0.0013986669946461916,0.06823525250949573,4.654e-05,1.251277558075233,1.2512780402938806,1.2512783118633333,1.251278564270752
25,0.1069757512492176,0.04274976752402176,0.0013504999806173146,0.06876444776590339,4.8519999999999996e-05,1.2513864928148628,1.2513869264933304,1.251387201489425,1.2513874683671837
26,0.10848124638930484,0.042744855625810346,0.0012999169994145632,0.06945804809242084,5.05e-05,1.2515000778606167,1.251500612113167,1.2515009491896472,1.2515012599007036
27,0.10530599224394199,0.04273974759359808,0.0013307079789228737,0.06846003502287745,5.2480000000000006e-05,1.2516182149019017,1.251618858284188,1.2516192592616717,1.2516196135221862
28,0.0972147921304512,0.04273446645708991,0.001481875020544976,0.06466673310815696,5.4460000000000004e-05,1.2517404276278037,1.2517411612616884,1.2517415784434793,1.2517419304383655
29,0.09750797163108715,0.042729013311829864,0.0014502499834634364,0.06490283972011968,5.644000000000001e-05,1.251866808805805,1.2518674384247555,1.2518678363416753,1.2518681674634626
30,0.10232016150546973,0.04272337046401932,0.0013698750408366323,0.06645975599737214,5.842e-05,1.2519975300907282,1.2519981430273437,1.2519985413609094,1.2519988647243194
31,0.10001657845932535,0.04271754628378482,0.001484000007621944,0.06586030030282347,6.04e-05,1.252132541951532,1.2521331053461457,1.2521334414838223,1.2521337097632323
32,0.10394229080508094,0.042711533027785374,0.0014244169578887522,0.06633570504136603,6.238000000000001e-05,1.2522719023034252,1.2522724726217684,1.2522727723105254,1.2522730052630426
33,0.10227804214015986,0.0427053326235184,0.0012454590178094804,0.06637967237353365,6.436e-05,1.2524156300068918,1.2524162569791149,1.2524164639972608,1.2524166115446729
34,0.10267033005795555,0.042698940690628906,0.0014734999858774245,0.06722229650880143,6.634e-05,1.2525638885517048,1.2525645194487018,1.2525645981601246,1.2525646346000785
35,0.10387824538932025,0.04269235699153327,0.0012870419886894524,0.06679560631680337,6.832000000000001e-05,1.2527165812378256,1.2527172358774294,1.252717226596668,1.252717190448635
36,0.10746520798563564,0.04268555976902917,0.0013252500211820006,0.07041742710057397,7.03e-05,1.252874367660212,1.2528749312595264,1.2528747913386322,1.2528746638032977
