Framework,K,IDmean,IDq10,IDmed,IDq90,OODmean,OODq10,OODmed,OODq90
,8,1.88e0,9.18e-1,1.79e0,2.87e0,6.58e0,3.80e0,6.44e0,9.40e0
,9,2.09e0,1.08e0,1.99e0,3.13e0,7.06e0,4.24e0,6.92e0,1.01e1
,10,1.65e0,7.79e-1,1.58e0,2.61e0,6.34e0,3.48e0,6.15e0,9.52e0
,11,9.03e-1,3.50e-1,8.69e-1,1.59e0,4.06e0,2.04e0,3.90e0,6.33e0
,12,2.06e-1,3.35e-2,1.60e-1,4.40e-1,1.54e0,4.30e-1,1.42e0,2.88e0
,13,9.33e-2,7.82e-3,6.05e-2,2.30e-1,8.75e-1,1.70e-1,7.39e-1,1.74e0
,14,1.96e-1,2.96e-2,1.51e-1,4.31e-1,1.46e0,4.23e-1,1.33e0,2.70e0
,15,8.89e-2,7.44e-3,5.77e-2,2.20e-1,8.22e-1,1.62e-1,7.05e-1,1.62e0
OPT-PEP,1,2.17e1,1.60e1,2.10e1,2.85e1,4.87e1,3.36e1,4.91e1,6.37e1
,2,1.40e1,1.05e1,1.37e1,1.82e1,3.03e1,2.19e1,3.06e1,3.90e1
,3,1.09e1,8.04e0,1.07e1,1.43e1,2.41e1,1.75e1,2.42e1,3.09e1
,4,8.12e0,5.76e0,7.92e0,1.08e1,1.88e1,1.35e1,1.91e1,2.42e1
,5,6.74e0,4.68e0,6.53e0,9.09e0,1.62e1,1.14e1,1.64e1,2.09e1
,6,5.95e0,4.03e0,5.80e0,8.07e0,1.48e1,1.03e1,1.49e1,1.93e1
,7,4.79e0,3.09e0,4.65e0,6.60e0,1.26e1,8.53e0,1.26e1,1.66e1
,8,3.89e0,2.38e0,3.76e0,5.33e0,1.08e1,7.02e0,1.08e1,1.45e1
,9,3.68e0,2.23e0,3.56e0,5.04e0,1.04e1,6.70e0,1.03e1,1.40e1
,10,3.07e0,1.78e0,2.96e0,4.33e0,9.14e0,5.77e0,9.04e0,1.26e1
,11,2.69e0,1.51e0,2.59e0,3.85e0,8.31e0,5.19e0,8.17e0,1.16e1
,12,2.26e0,1.21e0,2.18e0,3.35e0,7.38e0,4.53e0,7.21e0,1.04e1
,13,1.74e0,8.49e-1,1.67e0,2.68e0,6.15e0,3.49e0,5.96e0,8.82e0
,14,1.68e0,8.15e-1,1.62e0,2.60e0,6.00e0,3.39e0,5.80e0,8.63e0
,15,1.31e0,5.82e-1,1.27e0,2.12e0,5.06e0,2.76e0,4.94e0,7.43e0
