iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14
20,0.41231850383151936,0.00032097830673867735,0.11239351611584425,7.646796199364147,3.8620000000000006e-05,1.8882014092231398,1.8862599072813053,1.8862598071979169,1.888437366268615,1.8862608313751044,1.8862602560354738,1.888435990142313,1.8884364568967043,1.8862601800591994,1.88843584579577,1.8884379534882296,1.886262477641596,1.8884373476859782,1.8884381016704082,1.888444364004483,-0.00013229831354597893,0.2813573640350954,0.4336465882320244,0.5314603348751186,0.5983828362784794,0.6485273129717791,0.6872498091901257,0.7181037518170531,0.7432949388709561,0.7642685090144185,0.7820131682419582,0.7972283632630117,0.8112164348146046,0.8227732425657465,0.8325843815233089
21,0.41230952533622245,0.0003210623770382197,0.12394178309477866,7.636901112177635,4.0600000000000004e-05,1.8882905307329811,1.8861484018887134,1.8861482753637353,1.8885489881614852,1.8861495242388293,1.886148840869982,1.8885472359037814,1.8885478616539473,1.8861487526887801,1.88854707600553,1.8885497066071677,1.8861518216886612,1.8885490118945705,1.8885499541812514,1.8885567024033798,-0.00015424677306193386,0.2813167752117533,0.4336059919886229,0.5315010080344675,0.5983423448092282,0.6484867634826561,0.6872092499958272,0.7180631769237581,0.7432543673691885,0.7642279093661345,0.781972601571123,0.7971878146068504,0.8112571121882175,0.822813950655029,0.8325843815233089
22,0.4123001729224834,0.0003211506265133359,0.11444880999624729,7.633925257278218,4.2579999999999996e-05,1.8883839968680296,1.8860314558711933,1.8860313156779447,1.888666122440992,1.8860328085318507,1.8860320197715392,1.8886638047415945,1.8886646840654173,1.8860319157275847,1.8886636569315147,1.8886669234790492,1.88603599856345,1.8886661429684553,1.8886673004403933,1.8886745086270287,-0.0001781438084507852,0.28127420023741795,0.433563417325828,0.5315436783131116,0.5982998913172362,0.6484442455702057,0.6871667185413151,0.7180206298838545,0.7432118235785699,0.7641853291002124,0.7819300611892168,0.7971452974243745,0.81129979203911,0.8228566582413918,0.8325843815233089
23,0.4122904575360497,0.00032124306560548743,0.12744744890369475,7.640214935542341,4.4559999999999993e-05,1.8884819650748834,1.8859090724249838,1.8859089166362764,1.8887887236062977,1.885910712805932,1.885909780434192,1.888785794410152,1.8887869213681405,1.8859096589615716,1.8887856164871186,1.888789666721893,1.8859147532324017,1.8887887413804096,1.8887901547805999,1.8887977898221793,-0.000203844668863658,0.2812296469281993,0.43351886528645056,0.5315883620040345,0.5982554859761574,0.6483997575284844,0.6871222165057228,0.7179761090955129,0.7431673046795868,0.764140768793718,0.7818855504295571,0.7971008090254056,0.8113444633395162,0.8229013705195081,0.8325843815233089
24,0.41228036358346326,0.00032133970946496103,0.12020714697428048,7.621723286718574,4.654e-05,1.8885841343793948,1.8857812569288661,1.8857810987272494,1.8889167622895209,1.88578321624399,1.8857821540885742,1.8889130269213255,1.88891456205129,1.885782006826704,1.8889129002231468,1.8889178549167298,1.8857885103943017,1.8889167852503204,1.8889185235109613,1.8889265357602254,-0.00023163124427493415,0.2811831095127114,0.4334723367084795,0.5316350190950173,0.5982091172071753,0.6483533059092288,0.6870757444026959,0.7179296177335355,0.7431208173978171,0.7640942311359579,0.7818390705437487,0.797054360438486,0.8113911371749922,0.8229480887127361,0.8325843815233089
25,0.4122699316860803,0.0003214405614045086,0.11410273006185889,7.629172359709059,4.8519999999999996e-05,1.8886905658168816,1.8856480039063845,1.8856478436350343,1.889050284289788,1.8856503446458104,1.8856491271026,1.8890456492719323,1.8890476052044631,1.8856489462223434,1.8890455257346865,1.8890515901195268,1.8856569521738769,1.8890502992351128,1.8890524150420738,1.8890607557087797,-0.0002614176490398883,0.2811345919991205,0.4334238298893503,0.5316836866347077,0.5981607994748765,0.6483048894115642,0.6870273058619852,0.7178811565546782,0.7430723581011129,0.7640457126257583,0.7817906227008317,0.7970059449987238,0.8114398058549109,0.822996815904461,0.8325843815233089
26,0.41225915261025037,0.00032154562995926874,0.11821396020241082,7.630624118888126,5.05e-05,1.888801392694311,1.8855093213779406,1.8855091349854258,1.889189309428348,1.8855120994141512,1.8855106942287316,1.8891836187587328,1.8891860570519163,1.8855104734864516,1.8891834885082934,1.8891908702437434,1.8855201264516652,1.8891892913699473,1.8891918366390992,1.8892004499009143,-0.00029310425296418116,0.2810840984919527,0.4333733369447053,0.5317343729537519,0.5981105396098572,0.6482545085794457,0.6869769004332913,0.7178307270274176,0.7430219261249941,0.7639952124085226,0.7817402062013862,0.7969555633537528,0.8114904791076879,0.8230475586493814,0.8325843815233089
27,0.412248007113147,0.0003216549286123274,0.11414168798364699,7.612451175426638,5.2480000000000006e-05,1.8889161903781462,1.885365210161928,1.885365008608302,1.8893338382325515,1.8853684783617142,1.8853668861342334,1.8893268241156354,1.8893298957633917,1.885366617218483,1.8893267272620717,1.8893356090827542,1.8853783178245394,1.8893337593226334,1.889336789618019,1.889345607174451,-0.00032703770821269256,0.2810316223205908,0.4333208680306833,0.5317870529763781,0.5980583302569603,0.6482021698450592,0.6869245306032834,0.7177783318591592,0.7429695290081756,0.7639427329979084,0.7816878220164112,0.7969032225522729,0.8115431656270868,0.8231003138722637,0.8325843815233089
28,0.41223654799170545,0.0003217684815120967,0.11132276407442987,7.60984736889809,5.4460000000000004e-05,1.8890348982713434,1.8852156699804565,1.8852154693330199,1.889483877893714,1.8852194138406986,1.885217710062917,1.8894752309952716,1.889479112945142,1.8852173788688547,1.8894752377611783,1.8894858360876128,1.8852314263796859,1.8894837108476201,1.889487294328165,1.889496228018861,-0.00036327396824784475,0.28097716157367997,0.4332664265924683,0.5318417388771871,0.5980041609393195,0.6481478738699414,0.6868701964792802,0.717723970709341,0.7429151671082294,0.7638882748245317,0.7816334734545441,0.7968489212855875,0.811597858350774,0.8231550865920437,0.8325843815233089
29,0.4122247860243215,0.0003218862839874519,0.11590618290938437,7.6192697004198875,5.644000000000001e-05,1.8891574707433323,1.8850606977375388,1.885060499317048,1.8896394520647013,1.8850649785674112,1.8850631371161355,1.8896289749262916,1.8896337006681647,1.885062739570006,1.8896290466406302,1.889641673723396,1.8850792213662824,1.889639158001414,1.8896433628018519,1.8896523239445786,-0.0004017604397651337,0.2809207253226547,0.43321001451724334,0.5318984771543905,0.5979480603325623,0.6480916175188478,0.6868138993569805,0.717667638020624,0.742858834153705,0.7638318322077634,0.781577161196692,0.7967926583058053,0.8116545643695838,0.8232118835721606,0.8325843815233089
