K,alpha,GD_worst_bound,GD_worst_sample,GD_exp_bound,GD_exp_eps,GD_exp_sample,GD_cvar_bound,GD_cvar_eps,GD_cvar_sample,NGD_worst_bound,NGD_worst_sample,NGD_exp_bound,NGD_exp_eps,NGD_exp_sample,NGD_cvar_bound,NGD_cvar_eps,NGD_cvar_sample
18,0.05,4.967524377616192,0.4870292604766708,0.3734932112321572,0.0021877616239495,0.3671538235118497,0.5131087778789044,0.0021877616239495,0.46587756291719085,1.6791254097303003,0.0952928609991581,0.06537588717279,0.0021877616239495,0.06332253653914524,0.102077831122763,0.001,0.09035666649447072
19,0.05,4.712778422271036,0.4536872262738829,0.3458617754078024,0.0021877616239495,0.34000556215728994,0.4767147762037602,0.0021877616239495,0.43431190351775745,1.5267113858035124,0.0816106867187227,0.0570937713601024,0.0021877616239495,0.05494519280698751,0.0911626104954866,0.001,0.07910845521569085
20,0.05,4.482886220768884,0.4239629468729774,0.3214680217604664,0.0021877616239495,0.31605136812488627,0.4443479912052512,0.0021877616239495,0.4061342997529508,1.3942343638360175,0.0727601424130037,0.0493771670238675,0.001,0.04801390963921203,0.0743956880973212,0.0003981071705534,0.0697896261596265
21,0.05,4.274381063418543,0.3973270815834659,0.2989152031877108,0.001,0.29478624640275486,0.4154131744124683,0.0021877616239495,0.3808349625080389,1.2783532408561176,0.0652331439828182,0.043664787834883,0.001,0.042231556262596774,0.0666112680557488,0.0003981071705534,0.0618815031594228
22,0.05,4.084408343334268,0.3733475319723532,0.2795933688457268,0.001,0.275803657701387,0.3894301001856966,0.0021877616239495,0.35800209565957447,1.1764005483969695,0.0587879566464459,0.0388472500469405,0.001,0.037369197403902474,0.0598968213035718,0.0003981071705534,0.05518878733837884
23,0.05,3.9105992414434896,0.3516679807921551,0.2622575314089989,0.001,0.2587730269213634,0.3660006884840692,0.0021877616239495,0.33757106863821457,1.0862249034009177,0.0532069686769269,0.0347421712233368,0.001,0.03324850111926375,0.0540792849402991,0.0003981071705534,0.049858483694568786
24,0.05,3.750980729913357,0.3319919164250701,0.2466337527103613,0.001,0.24342307847266892,0.3447869321858774,0.0021877616239495,0.3194086943839306,1.006075094452959,0.048299604680293,0.0312084368526467,0.001,0.029729390377704418,0.0490045165963258,0.0003981071705534,0.04542867640764384
25,0.05,3.6038896213426943,0.3140705677131406,0.2324932095254731,0.001,0.2295293242049258,0.3258421752475314,0.0021877616239495,0.3028082412333642,0.93451460732477,0.0439131362870397,0.0277002082908511,0.0003981071705534,0.02670143798257077,0.0445403765822416,0.0003981071705534,0.04147947941387879
26,0.05,3.4678943772170245,0.2977851981578585,0.2196450976023978,0.001,0.21690455471853073,0.308752203962223,0.0021877616239495,0.28757995191233177,0.8703553621265521,0.0399399880544883,0.0250170983780546,0.0003981071705534,0.024077646752493395,0.0406106319646515,0.0003981071705534,0.0379242240153316
27,0.05,3.3417867827206336,0.2828569083666962,0.207930977181451,0.001,0.20539153236254593,0.2930941422744346,0.0021877616239495,0.27356391802204527,0.8126081890982082,0.0363163371132112,0.0226564197114502,0.0003981071705534,0.021789619425894552,0.0372097398969972,0.0003981071705534,0.034702601411600295
28,0.05,3.22453329992806,0.2690091149632306,0.1972163000984395,0.001,0.19485731832849848,0.2787066049164123,0.0021877616239495,0.26062439847751717,0.7604448964556418,0.0330232376590854,0.0209987325953049,0.001,0.01978356253291968,0.0343235443448868,0.0003981071705534,0.03177454695489541
29,0.05,3.11522698539568,0.2561648750524661,0.1881120646817612,0.0021877616239495,0.1851888264902335,0.265445066725423,0.0021877616239495,0.24864538658374385,0.7131655455095507,0.0307960220188733,0.0191479535322145,0.001,0.018016910000726964,0.0317031524383648,0.0003981071705534,0.02915002942186904
30,0.05,3.013088426918463,0.2455016567123905,0.1790540074872383,0.0021877616239495,0.17628930795333328,0.2531920509034578,0.0021877616239495,0.23752711853172728,0.670178201195409,0.0287329379966839,0.0175053467046234,0.001,0.016455528427581346,0.029341275803898,0.0003981071705534,0.02684538492297356
31,0.05,2.9174344362843376,0.2358568397917394,0.1706977463615771,0.0021877616239495,0.1680755486634132,0.2418425954937961,0.0021877616239495,0.22718329898504158,0.6309767127962261,0.0268205825487681,0.0160458712372562,0.001,0.015071508118285065,0.0272353948587385,0.0003981071705534,0.02476036844647942
32,0.05,2.8276672282696778,0.226819391305057,0.1629698830182984,0.0021877616239495,0.1604756183216905,0.2313079247560096,0.0021877616239495,0.21753887815513676,0.5951292896101639,0.0250450817606866,0.0147480489251908,0.001,0.013841517344082777,0.0254100911592294,0.0003981071705534,0.02287717493683202
33,0.05,2.743259561392116,0.21833242078964,0.1558061522898872,0.0021877616239495,0.15342704918883465,0.221504593946216,0.0021877616239495,0.2085282568529518,0.5622621870491737,0.023390238547223,0.0135929192087316,0.001,0.012745653897814796,0.023768519551562,0.0003981071705534,0.02117569441079588
34,0.05,2.6637444006735143,0.2103463017266504,0.1491508602980028,0.0021877616239495,0.1468753527779447,0.212365404970508,0.0021877616239495,0.2000938264985877,0.5320533817053211,0.0218390704407331,0.0125638158799341,0.001,0.011766694729107232,0.0222835790761196,0.0003981071705534,0.019634621069629942
35,0.05,2.5887093024079637,0.2028175252321997,0.1429552875615227,0.0021877616239495,0.1407728041165457,0.2038292906343645,0.0021877616239495,0.1921847733923156,0.5042231374705494,0.0203766562798573,0.011645709812441,0.001,0.01088963045641934,0.0209405519385242,0.0003981071705534,0.01823326330301562
36,0.05,2.517785686916053,0.1957077626032893,0.1371764578457416,0.0021877616239495,0.13507743938517783,0.1958415111460687,0.0021877616239495,0.18475609304912835,0.4785279960095744,0.0189925013675794,0.0108251630201564,0.001,0.010101377252064024,0.0197261833205765,0.0003981071705534,0.01695319595505152
37,0.05,2.450644683819648,0.1889830942953955,0.1317760562560322,0.0021877616239495,0.1297522248455334,0.1883541627175829,0.0021877616239495,0.1779293439027527,0.4547540785145238,0.0176814401286094,0.0100901340328956,0.001,0.009390579621678455,0.0186261187439028,0.0003981071705534,0.015779216967524164
38,0.05,2.386992162967714,0.1826133723604143,0.1267207408558142,0.0021877616239495,0.12476436413390907,0.1814687318928542,0.0021877616239495,0.1715628947393706,0.4327141069916056,0.0164429717390208,0.0094298453592287,0.001,0.008747446443517272,0.0176268702527417,0.0003981071705534,0.0146994694068242
39,0.05,2.3265619289269432,0.176571690536624,0.121980527703012,0.0021877616239495,0.12008471798628269,0.1752198431969449,0.0021877616239495,0.16555548430856298,0.4122434854100553,0.0152795355219713,0.0088348285631711,0.001,0.008163590853328956,0.0167152156633524,0.0003981071705534,0.013704908813252838
40,0.05,2.2691158986002877,0.170833941654105,0.1175287624142509,0.0021877616239495,0.11568731583454593,0.1693306079001814,0.0021877616239495,0.15987925829933936,0.3931962053455122,0.0141944573320961,0.008296687157389,0.001,0.007631865715403038,0.0158836743057136,0.0003981071705534,0.012790825000278361
