iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
24,0.0249274090575499,0.007773603764659597,6.092578638810664,0.022545677979847387,0.00046053999999999995,1.255027475575999,1.2550338113957917,1.255034815866612,1.2550339898936984,1.255032830779463,1.2550310059641083,1.255029624991288,1.2550279669901288,1.2550332559415225,1.2549902459256532,1.254527056555302,1.2549219924472144,1.2549760749435637,1.2549862707047545
25,0.024527086504770722,0.007761894006010529,6.905126231256872,0.021720391292538378,0.0004805199999999999,1.2561041636592427,1.2561112152580773,1.2561123187418135,1.2561114312810067,1.256110161749189,1.2561082048150973,1.256106795421657,1.2561051208016292,1.2561098537455542,1.256071685885513,1.2555615269624971,1.2559921231616689,1.2560606184273435,1.2560668286662293
26,0.02456833414170195,0.007749737704371289,6.462339179590344,0.02258765217447365,0.0005005,1.2572274463858495,1.2572348568010163,1.2572359922357272,1.2572350485790729,1.257233647771363,1.2572314912673273,1.2572300120995583,1.2572282624109705,1.257230585061583,1.2571923043709063,1.2566252719729416,1.2571013637196415,1.2571891899692207,1.257189270296133
27,0.023688747478792543,0.007737121942172983,5.754249152261764,0.022083879939517038,0.00052048,1.2583949622371313,1.258402697613111,1.2584034156112374,1.2584020737783346,1.2584002765495639,1.2583977594441556,1.2583960614910477,1.2583941109129864,1.25839410731747,1.2583561341721703,1.2577446720374363,1.2582619016913497,1.2583612417380243,1.258357334720241
28,0.026546273783154026,0.007723937826244114,6.545088198035955,0.023683870217593363,0.00054046,1.2596112752806212,1.2596199445757783,1.2596208001288627,1.2596194953400677,1.259617725407583,1.2596151633283625,1.2596134631358655,1.259611531187513,1.2596195460530981,1.2595840728298031,1.2589418299447175,1.2594825500467024,1.2595877093116954,1.259579991326745
29,0.023885254841820903,0.007710305158695644,6.343877742998302,0.02177636170648401,0.00056044,1.2608701710163563,1.2608792144863628,1.260879982893383,1.2608785443569739,1.2608767121678375,1.2608740436661179,1.2608722277322046,1.260870230289761,1.260892568562823,1.2608608802226993,1.260193995262248,1.2607537404561882,1.2608564692727005,1.2608498338814276
30,0.025624019763810586,0.007696192681150221,6.334793330170214,0.022503499134820346,0.0005804199999999999,1.2621739519484725,1.262184029695588,1.2621850156468373,1.2621836959322421,1.2621820694879835,1.262179571690071,1.2621779470290273,1.2621762164637063,1.2622114597852439,1.2621797887256236,1.2615007932394744,1.2620769494933102,1.262179753236985,1.2621713254019207
31,0.02371613557554455,0.007681687257817993,5.464467687066644,0.02212275412967388,0.0006004,1.2635233944233997,1.2635334414560462,1.2635342091687105,1.2635327670513605,1.2635311712605082,1.2635286862948083,1.2635271245741275,1.2635255225819355,1.2635698330039251,1.2635340281700824,1.2628299713810636,1.2634356870163557,1.2635398705954537,1.2635302399632298
32,0.023449912670342143,0.00766676982809875,5.706110045779496,0.022052336230492096,0.00062038,1.2649185142267498,1.2649258518761077,1.2649253032547159,1.264923027720435,1.2649208540728538,1.264917986930757,1.2649161309352497,1.2649142685907333,1.2649638856801206,1.2649282544824292,1.2642125970711617,1.2648360249128783,1.264944894692554,1.2649319683994442
33,0.022188255020704546,0.0076515447796794926,5.8455738397315145,0.020895583227658936,0.00064036,1.2663543960072987,1.2663578301082477,1.2663545538297734,1.2663503461461147,1.2663466990265089,1.2663427044486202,1.2663399588867283,1.266337333052993,1.2663886357709375,1.2663482625643905,1.2656078928810948,1.2662629750997916,1.2663823634956746,1.2663651224396473
