iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
20,0.8318529522742774,0.009293577849767235,0.1026975039858371,6.895073418858174,4.420000000000001e-06,1.8871984423368529,1.8872011138299365,1.8872372639323134,1.8872006952364146,1.887202117262014,1.8871986818392161,1.8874755321247862,1.8872203136492391,1.8872087007367244,1.887252061710264,1.887493309504852,1.8872008677836483,1.8871985960249655,1.887198291921098,1.8871982964329324
21,0.831856513775111,0.009293659983743527,0.10401143901981413,6.894841177771783,4.600000000000001e-06,1.8871857146115798,1.8871885978668166,1.8872275177185631,1.887188150159629,1.8871896691522219,1.8871859808721771,1.8874879406889506,1.8872091584094908,1.8871966981982111,1.8872410734399623,1.8875056734305855,1.887188086529208,1.8871858858810477,1.8871855293586157,1.8871855307190095
22,0.8318602259844846,0.009293745442387525,0.10829920996911824,6.894603421586562,4.78e-06,1.8871724903968041,1.8871755895426396,1.8872173318293164,1.887175112278331,1.887176729462805,1.8871727841934416,1.8875008680477738,1.8871975297745396,1.8871842094775246,1.887229549739891,1.8875185278910016,1.8871748013707796,1.8871726796724844,1.8871722689219512,1.887172266991985
23,0.8318640890606119,0.00929383422737648,0.10351739381439984,6.8943627587665155,4.96e-06,1.8871587698704093,1.8871620887456035,1.8872067031867512,1.8871615815158593,1.8871632980072417,1.8871590919248635,1.887514312454432,1.887185426374113,1.8871712340135574,1.8872174933492962,1.8875318731517217,1.8871610130364196,1.8871589775233515,1.887158510878698,1.887158505535888
24,0.8318681031536003,0.00929392634027361,0.10291389492340386,6.8941005162690905,5.140000000000001e-06,1.8871445531992626,1.887148095379744,1.8871956289007807,1.8871475577996666,1.8871493746067425,1.8871449041904935,1.88752827230872,1.8871728469161304,1.887157771279667,1.8872049068297068,1.8875457094527168,1.8871467221997047,1.8871447795542013,1.887144255490049,1.8871442466216797
25,0.8318722684035934,0.009294021782529364,0.10620652697980404,6.893839376997548,5.320000000000001e-06,1.887129840542979,1.8871336093604907,1.8871841062402468,1.8871330410652396,1.8871349590936015,1.8871302211102212,1.8875427461765764,1.8871597901879467,1.8871438207795175,1.8871917925639632,1.887560037017864,1.887131929495535,1.887130085881575,1.8871295029958648,1.887129490509273
26,0.831876584941039,0.009294120555499037,0.11097380402497947,6.893564589381672,5.500000000000001e-06,1.8871146320630858,1.887118630606281,1.8871721326266906,1.8871180312513152,1.8871200513119062,1.8871150427996541,1.887557732750201,1.8871462550543554,1.88712938203884,1.8871781527666676,1.8875748560707317,1.887116635515557,1.8871148966193363,1.8871142536241257,1.8871142374445697
27,0.831881052887925,0.009294222660461496,0.10642662714235485,6.893271483426816,5.680000000000001e-06,1.8870989279167154,1.8871031590418395,1.887159705626447,1.88710252830707,1.8871046511096046,1.887099369373484,1.8875732308100368,1.8871322404426023,1.8871144546244494,1.8871639895123864,1.887590166812514,1.8871008408105716,1.8870992118743761,1.887098507599778,1.887098487659193
28,0.8318856723591356,0.009294328098643171,0.10640170401893556,6.892982316176903,5.860000000000001e-06,1.887082728244149,1.8870871946022525,1.8871468229296011,1.8870865321907626,1.8870887583484781,1.8870832009395322,1.8875892392311358,1.887117745350261,1.887099038117492,1.8871493047301857,1.8876059694354397,1.8870845458972891,1.8870830317430431,1.8870822651294032,1.8870822413776016
29,0.8318904434636762,0.009294436871151156,0.10802253102883697,6.892672319907001,6.0400000000000015e-06,1.8870660331898195,1.8870707372317514,1.8871334823697543,1.8870700428566072,1.88707237290051,1.8870665376080915,1.887605757003248,1.8871027688367277,1.8870831321284804,1.8871341002236643,1.8876222641183038,1.8870677512657927,1.887066356329815,1.887065526415833,1.887065498809043
