iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13
22,1.5376617579999874,0.0009720693287530964,0.03023204201599583,13.487449818833559,4.78e-06,1.2498578347079352,1.250142079277521,1.2501421593866566,1.2498578314612492,1.2498577495164438,1.250141858176882,1.250142035677469,1.2498578375908718,1.2501421907799257,1.2498578409906251,1.250142167606774,1.250142156071639,1.2498707319768203,1.2501421663697232,-6.368113922524154e-05,0.28181709899146723,0.4340276707897659,0.5310002225020619,0.5988421194490067,0.6489868522474268,0.687582241916307,0.718436271274915,0.743627472145597,0.7646011397506621,0.7823456643851529,0.797560798273986,0.8107564035381187,0.8223766390185734
23,1.5376571073930096,0.0009720762232997347,0.030304415966384113,13.481472460490526,4.96e-06,1.24984674968969,1.2501531259548029,1.2501532412326377,1.2498467429262115,1.2498466210061898,1.2501528519252452,1.2501530895093287,1.2498467493966905,1.2501532884443138,1.2498467489971083,1.2501532617761575,1.2501532445075731,1.2498614015066905,1.2501532585220225,-6.864749827662148e-05,0.28182205445504394,0.4340256034557645,0.5309952624210098,0.5988470727443066,0.6489917917927892,0.6875772423991796,0.7184313105195715,0.7436225136925184,0.7645961800160275,0.7823407053915478,0.7975558373941102,0.8107514660949685,0.8223766390185734
24,1.5376523549200423,0.0009720832375564834,0.03044766600942239,13.503830493938043,5.140000000000001e-06,1.24983525628431,1.2501646021918547,1.2501647322332488,1.249835250164535,1.249835095654711,1.2501642983671608,1.2501645613642072,1.2498352574337932,1.2501647869415402,1.2498352573438847,1.2501647552587931,1.2501647348051157,1.2498512150008894,1.250164751290228,-7.379565233469293e-05,0.28182719308328996,0.43402412012968083,0.5309901217130836,0.5988521994097096,0.6489969214085741,0.6875720843163671,0.7184261699702692,0.743617375024135,0.764591040466496,0.7823355656796666,0.7975506972151799,0.8107463238631678,0.8223766390185734
25,1.5376472041295655,0.0009720904168895881,0.030607583990786225,13.49152823258787,5.320000000000001e-06,1.2498233576437545,1.2501764843709264,1.250176630362905,1.2498233539670005,1.2498231722221405,1.2501761668664613,1.250176436415652,1.249823362465649,1.2501766875632458,1.2498233650161048,1.2501766502351472,1.2501766275719108,1.2498404027343224,1.2501766457171273,-7.91246454655906e-05,0.2818325119464573,0.4340229915963327,0.5309848007887107,0.5988575044959148,0.6490022348712645,0.6875667523601343,0.7184208494153824,0.7436120562394515,0.7645857210510598,0.78233024575961,0.797545377603837,0.8107409912506811,0.8223766390185734
26,1.537641730670205,0.0009720977606731274,0.030202249996364117,13.480396392089405,5.500000000000001e-06,1.2498110580668438,1.2501887614694926,1.2501889321876904,1.2498110567577123,1.2498108508289416,1.2501884198021889,1.2501886829980366,1.2498110655845767,1.2501889909948969,1.2498110693336988,1.2501889477708028,1.2501889221065956,1.2498293867991548,1.2501889425060657,-8.463344295564637e-05,0.28183800990582103,0.43402211606034663,0.5309793008508936,0.5988629964153852,0.6490077250676153,0.6875612252853243,0.7184153486058943,0.7436065573333851,0.7645802215533559,0.7823247457947029,0.7975398774932387,0.810735484063781,0.8223766390185734
27,1.537635948074774,0.0009721052182312709,0.03073395899264142,13.484170649703998,5.680000000000001e-06,1.2497983528128107,1.2502014379551738,1.2502016422985347,1.2497983580762453,1.2497981472126718,1.2502010776468617,1.2502013300919268,1.2497983660969711,1.2502016971570307,1.249798371767347,1.2502016469217907,1.250201618917477,1.2498178033363685,1.2502016413405626,-9.032387639516972e-05,0.2818436875167599,0.43402178845003053,0.5309736215105502,0.5988686730189953,0.6490133962608962,0.6875555199245459,0.7184096678196565,0.7436008786047987,0.7645745421177765,0.7823190656132584,0.7975341976239259,0.8107297832725835,0.8223766390185734
28,1.5376297647687056,0.0009721129234477332,0.029823917022440583,13.488401479695737,5.860000000000001e-06,1.2497852447874622,1.2502145278555372,1.2502147544821847,1.2497852558334566,1.249785025686897,1.2502141529477349,1.2502143784306978,1.249785264133504,1.2502148064880456,1.2497852725441139,1.2502147475342111,1.2502147178338678,1.2498057911000944,1.250214741923826,-9.619404090783764e-05,0.28184954651014626,0.43402142659077575,0.530967761650003,0.5988745233754265,0.6490192497425632,0.6875496363167043,0.7184038070133324,0.7435950201343325,0.7645686827901254,0.7823132052040109,0.7975283379322889,0.8107239029359727,0.8223766390185734
29,1.5376234002342986,0.000972121017606439,0.030257250007707626,13.47348903832361,6.0400000000000015e-06,1.2497717356358926,1.2502280100305705,1.2502282634863462,1.2497717506685209,1.249771492463573,1.2502276095493137,1.2502278240379219,1.2497717603442708,1.2502283196702677,1.249771770137539,1.250228251609039,1.250228218716903,1.2497935120683914,1.2502282455014182,-0.00010224403355033568,0.2818555845885514,0.4340204469186162,0.5309617211500924,0.5988805508474224,0.6490252784176639,0.6875435624909654,0.7183977660838612,0.7435889820080449,0.7645626434628792,0.7823071649913426,0.7975222979838932,0.8107178429017454,0.8223766390185734
30,1.5376170683800994,0.000972129404655863,0.030431667051743716,13.455824819960785,6.22e-06,1.2497578307237664,1.2502418576111478,1.250242170676156,1.2497578457261567,1.2497575492266866,1.250241398368574,1.2502416272815744,1.2497578560087594,1.2502422379837757,1.249757862439802,1.250242160975169,1.2502421223618232,1.2497815836409054,1.250242153175675,-0.00010847249737173226,0.2818617984670204,0.4340190667077806,0.5309555018377077,0.5988867688067193,0.6490314730611642,0.6875372732164997,0.718391544668794,0.7435827640743568,0.7645564239288591,0.7823009453946738,0.7975160770243236,0.8107116271139425,0.8223766390185734
31,1.537610656852914,0.0009721378610612186,0.02987241599475965,13.500826949352922,6.4000000000000006e-06,1.2497435157173553,1.2502561395435303,1.2502564895089336,1.2497435347782888,1.2497432008129385,1.2502556559854283,1.2502558522143565,1.2497435476310865,1.2502565568613728,1.2497435561540557,1.2502564685105089,1.2502564277278436,1.2497686737182967,1.2502564607589606,-0.0001148830211184379,0.281868196139278,0.4340185202374449,0.5309491012060581,0.5988931544693616,0.6490378605526455,0.687530830585104,0.7183851435194896,0.7435763659033524,0.7645500246391159,0.7822945447811552,0.7975096768868686,0.8107051981900008,0.8223766390185734
32,1.537603761871722,0.0009721464271947853,0.029968749964609742,13.482072404549026,6.5800000000000005e-06,1.249728793736457,1.2502708188167098,1.250271217832702,1.2497288217627107,1.2497284582566728,1.2502703260211836,1.2502704819782684,1.2497288366331956,1.2502712777899627,1.2497288478777357,1.2502711766298444,1.2502711360141914,1.2497551475132105,1.2502711701159426,-0.00012147570446148213,0.2818747732340318,0.43401856636269337,0.5309425208453016,0.5988997201646371,0.6490444300952348,0.6875242127282014,0.7183785624784883,0.7435697877771434,0.7645434453247195,0.7822879636493152,0.7975030969232374,0.810698570076832,0.8223766390185734
33,1.5375964571339606,0.0009721553634353986,0.030114166962448508,13.468006139288615,6.760000000000001e-06,1.249713671700111,1.2502858760521152,1.2502863440614078,1.249713706769105,1.2497132942394111,1.250285364733632,1.2502854952549418,1.2497137240936225,1.2502864041128232,1.2497137366218423,1.2502862883818817,1.2502862462845263,1.2497415200030513,1.2502862823702274,-0.00012824805971661324,0.2818815275383943,0.43401803848371173,0.5309357602477894,0.5989064640101328,0.6490511720640597,0.6875173966017741,0.7183718011329061,0.7435630302945867,0.7645366861349749,0.7822812030087701,0.7974963367497432,0.8106917695297536,0.8223766390185734
34,1.5375891639144903,0.0009721645258864316,0.030141499999444932,13.487370920274845,6.940000000000001e-06,1.2496981413993506,1.2503013486129977,1.2503018753952633,1.2496981881206612,1.2496977272522205,1.2503008351648814,1.250300915157597,1.2496982082673234,1.250301932757716,1.2496982254491695,1.250301800081495,1.2503017581190452,1.249727116315335,1.250301795681661,-0.00013520257876627464,0.28188846363868103,0.4340176847717028,0.5309288189169955,0.5989133816716458,0.6490580995593053,0.6875104102384392,0.7183648597999268,0.7435560929400425,0.7645297471980894,0.7822742618980383,0.7974893972138472,0.810684761922881,0.8223766390185734
35,1.5375816247515643,0.0009721739844335782,0.03038508299505338,13.494486184155061,7.120000000000001e-06,1.2496822047371232,1.2503172519690584,1.2503178082489312,1.2496822632191444,1.249681727494571,1.250316759455284,1.2503167451778106,1.249682288840355,1.2503178633455991,1.2496823155768002,1.250317712063231,1.2503176705449583,1.2497119898753777,1.250317709320014,-0.00014233776858328583,0.281895583249412,0.43401720290941753,0.5309216955096533,0.5989204596759983,0.6490652157984005,0.6875032581158217,0.7183577384355297,0.7435489754855071,0.7645226286140532,0.7822671403536811,0.7974822784149378,0.810677556229444,0.8223766390185734
36,1.5375739576501313,0.0009721837707991896,0.030293208023067564,13.465319351428619,7.3e-06,1.2496658712302462,1.2503335250644165,1.2503341394793812,1.2496659371624568,1.249665306072254,1.250333033858308,1.2503329513786012,1.2496659685533065,1.2503341997083237,1.2496660008817941,1.2503340287059341,1.2503339851601223,1.2496970008282802,1.2503340265441296,-0.00014965144399777308,0.28190287903283356,0.4340162478304792,0.5309143923614752,0.5989277179941848,0.6490725007159299,0.687495898962856,0.7183504367353637,0.74354167883714,0.7645153300143083,0.7822598394404597,0.7974749791186522,0.8106701911247048,0.8223766390185734
37,1.5375662540910238,0.0009721938639126616,0.030300124955829233,13.487392848032345,7.48e-06,1.2496491323480443,1.2503502122656194,1.2503508733379436,1.2496492060096,1.2496484333661992,1.2503497442302247,1.2503495773202546,1.2496492450228847,1.250350938702091,1.2496492866900974,1.2503507461116812,1.2503507012435633,1.2496813462858618,1.2503507446372983,-0.0001571456358209716,0.2819103563936323,0.4340151309122249,0.5309069075349462,0.5989351331541417,0.6490799702008649,0.6874883711290595,0.7183429550375249,0.7435342023590261,0.7645078517025126,0.7822523581398017,0.7974675004514845,0.810662629712496,0.8223766390185734
38,1.5375584395845143,0.0009722043888313204,0.03003575000911951,13.447589342702518,7.660000000000001e-06,1.2496320010287274,1.2503672598596098,1.2503679984596632,1.2496320743370606,1.2496311163570204,1.2503667621531482,1.2503665665167218,1.2496321219676518,1.2503680849984777,1.249632166315227,1.2503678715202011,1.2503678200071993,1.2496663174094464,1.2503678683055688,-0.0001648171767361113,0.2819180094601536,0.4340130063427525,0.5308992430015244,0.5989427285799546,0.6490875990781451,0.6874806166541547,0.718335292720325,0.7435265466135772,0.7645001931790151,0.7822446979818067,0.7974598406604252,0.8106549257661977,0.8223766390185734
39,1.537550770871216,0.0009722151686787457,0.03017558401916176,13.481633058988619,7.840000000000001e-06,1.2496144656426196,1.2503847206488596,1.2503855264419264,1.249614538297182,1.2496133725648149,1.2503841982023993,1.250383961926602,1.2496145963840601,1.250385634339047,1.2496146443028544,1.2503853979186172,1.2503853399527176,1.2496507571424083,1.2503853931738034,-0.00017266896697181692,0.28192584408743265,0.43401088398407384,0.5308913974108327,0.5989504893520113,0.6490954094994691,0.6874726845274887,0.7183274504146004,0.7435187112508752,0.7644923547851007,0.7822368574654605,0.7974520010650645,0.810647030426015,0.8223766390185734
40,1.5375429157833669,0.00097222602373645,0.030232459015678614,13.505351383775388,8.020000000000001e-06,1.2495965169085907,1.2504026327295708,1.2504034688453307,1.2495965933619333,1.2495952014717973,1.2504021450578422,1.2504018017880607,1.2495966656741848,1.2504035819757287,1.2495967256831082,1.2504033188236723,1.2504032607319915,1.2496339627753559,1.2504033154505036,-0.00018070350804952597,0.2819338643929147,0.4340096544106639,0.5308833686276003,0.598958397540228,0.64910341993629,0.6874646184689689,0.7183194285618943,0.7435106951641102,0.764484336700046,0.7822288350541201,0.7974439825118582,0.8106389053068942,0.8223766390185734
41,1.5375345797102715,0.000972237375596816,0.029828540980815887,13.448001399513004,8.200000000000001e-06,1.2495781737165232,1.2504208875330471,1.2504218015691793,1.2495782493187602,1.249576606188386,1.250420383803308,1.2504199989284408,1.2495783356486314,1.2504219379680346,1.2495784009928783,1.2504216479758397,1.2504215840952948,1.2496177302534475,1.250421643006869,-0.0001889168796430393,0.2819420582441565,0.4340071950403251,0.530875160382482,0.5989664918144006,0.649111587283247,0.6874563198661641,0.7183112259678563,0.743502500097694,0.7644761384798812,0.7822206338545049,0.7974357828873635,0.8106306314955357,0.8223766390185734
42,1.5375264740510917,0.0009722488221028622,0.02972237503854558,13.50538538777004,8.380000000000001e-06,1.249559416945051,1.2504395948113671,1.2504405478455112,1.2495594970423973,1.2495575821231397,1.2504391310917387,1.2504386341299774,1.2495596005713623,1.2504406941026363,1.2495596801949411,1.2504403734511402,1.2504403065903629,1.2496002341632042,1.250440367848875,-0.0001973129390354079,0.2819504378160784,0.43400556065951135,0.5308667694171679,0.5989747363456669,0.6491199543161841,0.6874478825947111,0.7183028436836792,0.7434941249646303,0.7644677608157978,0.7822122513316664,0.7974274049298332,0.810622131717174,0.8223766390185734
43,1.5375179103972605,0.0009722605315418142,0.02996416698442772,13.4575181082985,8.560000000000001e-06,1.2495402657366936,1.2504586826774375,1.2504596908091234,1.2495403437118469,1.249538144630438,1.2504582003800144,1.2504576082383427,1.249540465571519,1.2504598583233468,1.2495405533137913,1.2504595041281859,1.2504594295528344,1.24958309092384,1.2504594967488003,-0.00020588694218627007,0.2819589959519852,0.4340036860894236,0.5308581991673652,0.5989831677701511,0.6491284845235725,0.6874392197222358,0.7182942808799793,0.7434855713412942,0.7644592031697958,0.7822036896500943,0.7974188456198379,0.8106134678395517,0.8223766390185734
44,1.5375091985507146,0.0009722723875945272,0.030496500025037676,13.483146107860497,8.740000000000001e-06,1.2495207065250087,1.2504781972083086,1.2504792420167563,1.2495207859585407,1.249518302471415,1.2504777005456464,1.2504769766382526,1.249520927551711,1.2504794255255849,1.2495210267825472,1.2504790341465541,1.25047895436749,1.249565244853389,1.2504790259585463,-0.0002146428139302074,0.2819677369173694,0.4340022922083998,0.5308494480154998,0.5989917710447954,0.6491371998443233,0.6874303815411267,0.7182855380067551,0.7434768380199556,0.7644504658137444,0.7821949473328158,0.7974101070572681,0.8106046001610507,0.8223766390185734
