iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
30,0.028359843348003122,0.009250944288780285,21.207544967066497,0.05793327579741325,0.0005804199999999999,1.9115260876309128,1.8797942709740474,1.8651985802003659,1.8642779482475498,1.864649401498226,1.8644610175618515,1.909163951832705,1.8673920491899876,1.8883603944834952,1.910604652707955,1.9115824118007443,1.9111409190185726,1.9103029252721897,1.9093979916937163,1.9118381497829726
31,0.02834555256358126,0.009248424281875046,21.312058198964223,0.06280015162429556,0.0006004,1.9131944149805116,1.8791470013962386,1.8636284045509177,1.8626752784294534,1.8630818131471059,1.8628732899708027,1.9106316386400883,1.865968070064432,1.888361200011007,1.9121758494389005,1.913213661564471,1.9127714021056492,1.9117043576239756,1.9108961002018283,1.9135567411549232
32,0.024823108988412775,0.009246530443121582,20.73591958079487,0.08467148959905652,0.00062038,1.9149119509898398,1.8782268104788102,1.861936303119543,1.8609736777201884,1.861412715065237,1.8611805129825816,1.9120331655359184,1.8643801376099707,1.888005823060464,1.913713401865694,1.9148610257769243,1.9144474883420126,1.9131365156061932,1.9124648904186075,1.9153488558046359
33,0.027216147142811876,0.009244568499184013,20.648653374053538,0.0644009029530849,0.00064036,1.9166844599265604,1.8772635990268993,1.860220828428999,1.8592174699196116,1.8596731673525404,1.8594279126668078,1.9134999665699863,1.8627216902430523,1.887631594033719,1.9153076558038424,1.9165537553918526,1.9161963385688239,1.9146130778170225,1.9141158400452072,1.917170323252068
34,0.029624588039909895,0.00924233044184035,21.459774389863014,0.06300781522183543,0.00066034,1.918520029981547,1.8763455057898535,1.8584732676893896,1.857412969454518,1.857882094830516,1.8576145701526288,1.9150439654379663,1.8610361261544919,1.8873696536445095,1.916996349489961,1.9183063431822884,1.9180040813552546,1.9161366712291852,1.9158312693203103,1.919041719789682
35,0.0279556953526715,0.009239594221895707,19.610718125011772,0.044955418997543344,0.0006803200000000001,1.9204068050830556,1.8755000473278003,1.8567138456492622,1.8555923684348785,1.8560813378746472,1.8557988371464689,1.9167000635305724,1.8593744204932545,1.8872389320244405,1.9187779866668362,1.9201559875616343,1.9198724178001236,1.91776092811387,1.9176243714941994,1.9209617898947315
36,0.029119279816708962,0.009236788197760677,21.773778948001564,0.06463158097243045,0.0007003,1.922351192967936,1.8746718045049886,1.8549115703513241,1.8537169143046055,1.854223954795788,1.853911139643643,1.9184019798900247,1.8576435668200235,1.887109024068611,1.920618504944354,1.9220523487559762,1.9217943178905807,1.9194227756585942,1.919466090694871,1.9229164995928572
37,0.029372192886873504,0.009233528002237382,19.956580993020907,0.04960809049631762,0.00072028,1.9243523260233772,1.873932465138862,1.8531344453920637,1.8518169856086917,1.8523318328658396,1.8520047095617684,1.9202327156780963,1.8559276947285577,1.8871413267559194,1.922540941214322,1.92399229885813,1.9237856930599377,1.9211158012125202,1.921382134144921,1.92491989412467
38,0.03080494324602647,0.009229497663612769,18.32244281191379,0.03712260605770401,0.00074026,1.9264206021191947,1.873435672418517,1.8513883695991975,1.8499251811708728,1.8504577589212938,1.850121971014559,1.9222095361154783,1.8543080967302386,1.8874413939074588,1.9245681089979192,1.925996888410786,1.925834620790687,1.9228336700884487,1.923356946339588,1.9269766428824675
39,0.028986302963424856,0.009225697899338227,21.886940710013732,0.07522134170135289,0.00076024,1.928556812786512,1.8728092517135158,1.8495220039344857,1.847937992536384,1.8485130494524173,1.8481289296097083,1.9241058255289119,1.8525761001180774,1.8877027604206853,1.9266454718880233,1.9280669782325213,1.9279144953884295,1.9245747465137728,1.9253781442208482,1.9291233727352886
40,0.027149514707073462,0.009222143496851515,21.383222855860367,0.06353784852389989,0.0007802200000000001,1.9307470369282245,1.8720379109145715,1.8475689197893521,1.8458827800249773,1.8465096435486685,1.8460713216234659,1.9259997200198375,1.8507357843855068,1.8877870468853646,1.9287323349744343,1.9301679745003035,1.9300426195603517,1.9263426105703507,1.927451897932065,1.9313491347632448
41,0.029428435290438995,0.009217777886542733,17.895793503150344,0.03373632993540197,0.0008002,1.9329926634857446,1.8714872802735367,1.8456795219346522,1.843850373844768,1.8445350130853915,1.8440587545772833,1.9280568473841777,1.84899724794407,1.8881400251229317,1.9309238256917567,1.9323293896315883,1.9322451714637097,1.9281401363049189,1.9295875439284593,1.933613193848719
