iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,beta0,beta1,beta2,beta3
79,7.865473122925264,0.03248602862186147,0.0027511250227689743,39.35763012950328,9.914298199071363e-06,1.2487495382897746,1.2512734356595316,1.2513114717025169,1.2487476549595027,-0.000559700356897324,0.28231909899972085,0.43460819891644903,0.5310638054044796
80,7.865435674761471,0.032485616139630934,0.0025959169724956155,39.34532859481487,9.908088623197049e-06,1.2487274203441614,1.251296496182806,1.2513360216398266,1.2487254590099928,-0.0005696077305061182,0.2823292526769987,0.4346183451172091,0.5310638054044796
81,7.865398130691536,0.032485202999789485,0.0027420420083217323,39.3328779387468,9.901664203302126e-06,1.248705317503574,1.251319560635008,1.2513606010400393,1.2487032765527,-0.0005795086307974053,0.28233940499385674,0.4346284897404441,0.5310638054044796
82,7.865360492290035,0.03248478921692871,0.0026744590140879154,39.32048847767312,9.895025252503757e-06,1.2486832302460404,1.2513426284312081,1.2513852090144169,1.2486811080774178,-0.0005894028431926104,0.28234955571048254,0.4346386325480405,0.5310638054044796
83,7.865322761087008,0.032484374806230565,0.0027046669856645167,39.30809922229921,9.888172094375035e-06,1.2486611590476406,1.2513656989869633,1.2514098446291528,1.2486589540688493,-0.0005992901540416424,0.2823597045880056,0.43464877329952945,0.5310638054044796
84,7.8652849386835735,0.03248395978174434,0.0025766660110093653,39.29565550556991,9.881105062929221e-06,1.2486391043845328,1.2513887717256553,1.251434507025968,1.2486368150120746,-0.0006091703494224143,0.2823698513908059,0.43465891176290433,0.5310638054044796
85,7.865247026542469,0.032483544160128074,0.0025255410000681877,39.28330902207372,9.87382450260346e-06,1.2486170667320367,1.2514118460298975,1.251459195209398,1.2486146913868488,-0.00061904321569375,0.2823799958686936,0.4346690476867595,0.5310638054044796
86,7.865209026455254,0.03248312795645097,0.002824416966177523,39.27093632337466,9.866330768241984e-06,1.2485950465664597,1.2514349213255875,1.251483908240313,1.2485925836774054,-0.000628908539206434,0.28239013778619393,0.43467918083097834,0.5310638054044796
87,7.8651709400036784,0.032482711185285,0.002616084006149322,39.258560240292574,9.858624225078841e-06,1.2485730443598357,1.2514579970370692,1.251508645224116,1.2485704923651504,-0.0006387661081017453,0.2824002769083856,0.43468931096080027,0.5310638054044796
88,7.865132768715199,0.03248229386340677,0.0027006659656763077,39.24628796749012,9.850705248720069e-06,1.2485510605850938,1.251481072553122,1.2515334051490294,1.2485484179360764,-0.0006486157097811176,0.28241041298658687,0.4346994378226572,0.5310638054044796
89,7.865094514397099,0.03248187600639102,0.0025821669842116535,39.233931725858916,9.842574225125401e-06,1.2485290957138075,1.2515041472777468,1.2515581870747243,1.248526360867017,-0.0006584571323193518,0.28242054577931286,0.4347095611750262,0.5310638054044796
90,7.865056178705059,0.03248145762919533,0.0028832079842686653,39.22160775261097,9.834231550589462e-06,1.248507150217886,1.2515272206353985,1.2515829900775253,1.2485043216407938,-0.0006682901639549365,0.28243067505140723,0.43471968077958356,0.5310638054044796
91,7.865017763213062,0.03248103874711854,0.002563707996159792,39.20925309889783,9.825677631722436e-06,1.2484852245665707,1.2515502920307093,1.2516078132394606,1.248482300734987,-0.0006781145935496042,0.2824408005619497,0.4347297963970713,0.5310638054044796
92,7.864979269546367,0.03248061937635435,0.0027355829952284694,39.196954948489086,9.816912885430259e-06,1.2484633192288845,1.2515733608593738,1.2516326555872945,1.24846029862509,-0.0006879302099749933,0.28245092206692746,0.43473990778187804,0.5310638054044796
93,7.864940699441153,0.03248019953325892,0.002650790964253247,39.18468142964209,9.807937738894303e-06,1.2484414346724813,1.2515964265396737,1.2516575161042667,1.2484383157898467,-0.0006977368037192423,0.28246103932916783,0.4347500146863887,0.5310638054044796
94,7.864902054643553,0.03247977923253663,0.002709624997805804,39.17239409369638,9.798752629550547e-06,1.2484195713663448,1.25161948847144,1.2516823939291,1.2484163527092738,-0.0007075341637420729,0.28247115210558804,0.43476011687373967,0.5310638054044796
95,7.864863336712,0.032479358489760746,0.0027121250168420374,39.160118256513506,9.789358005068262e-06,1.2483977297734057,1.2516425460626135,1.251707288126063,1.2483944098560436,-0.0007173220817480128,0.2824812601569683,0.4347702141040013,0.5310638054044796
96,7.864824547310163,0.0324789373208892,0.0025610420270822942,39.14788392215189,9.779754323328192e-06,1.2483759103584269,1.2516655987138403,1.2517321977391176,1.2483724877073448,-0.0007271003487528125,0.28249136324085466,0.43478030613272733,0.5310638054044796
97,7.864785688147915,0.03247851574182131,0.0026832500007003546,39.135571601135325,9.769942052400236e-06,1.2483541135860692,1.2516886458120022,1.251757121840109,1.2483505867287907,-0.0007368687552484082,0.28250146111125296,0.434790392717701,0.5310638054044796
