iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5
10,27642.453891571273,13.782442245511627,0.617278684861958,290049.4716618277,7.0390906449655104e-06,0.10130189477260668,0.10122367041029298,1.000123190336192,0.10122353973997981,0.1012237083442154,1.00012305121937,0.10122359995522805,0.10122355860799961,1.0001232113504088,0.10122356882959971,0.10122355206803277,0.9998769469624719,0.10122356376271646,0.10122356367548774,0.999876967252659,0.10122356161448591,0.10122358049404043,0.9998769179774369
11,27643.53202319094,13.782720581066682,0.6378817928489298,289973.47947444144,6.281416799501188e-06,0.10130584359450974,0.10121981421499722,1.0001356356430662,0.10121957431657055,0.10121980608134337,1.0001354354940677,0.10121967902929514,0.1012196146596383,1.0001356343989996,0.10121962615894023,0.10121961003326581,0.999864548793738,0.10121962000570535,0.10121962261439621,0.9998645758649319,0.10121961785814523,0.10121963122982952,0.9998645219815799
12,27644.48498413187,13.782959502537935,0.6325299779418856,290116.98459031776,5.500000000000001e-06,0.10130932826391674,0.10121643745683938,1.0001466230012934,0.10121606665942053,0.10121637311228394,1.0001463568638302,0.10121621343487272,0.10121613436208726,1.0001465949116297,0.10121614851848298,0.1012161303401284,0.9998536132403,0.10121613993307288,0.10121614616521915,0.9998536320247711,0.10121613884290778,0.10121614295370004,0.9998535814784417
13,27645.3210822937,13.78315235321179,0.6252868177834898,289344.55967037694,4.718583200498814e-06,0.10131233640495603,0.10121359834406572,1.0001561101243712,0.10121303520380345,0.10121342371494037,1.0001557805061756,0.10121321241362692,0.10121312821817706,1.0001560902128432,0.10121314804106069,0.10121312325828272,0.9998441817737521,0.10121313668512519,0.10121314368765122,0.9998441890484473,0.10121313370831693,0.10121312842659766,0.9998441307070575
14,27645.972576531156,13.78323660314934,0.628142291912809,272602.8124935797,3.960909355034493e-06,0.10131488588082699,0.10121162569809575,1.0001641423687853,0.10121045028320239,0.10121107669761238,1.0001637399057641,0.10121064687306779,0.10121057017101123,1.0001642399354305,0.10121062359443854,0.10121057069595037,0.9998363175086618,0.10121059865615271,0.10121059652440266,0.9998362382019576,0.10121057313381053,0.10121057176355706,0.9998360832690466
15,27646.599256945607,13.783317027279878,0.6304552920628339,294503.0869478084,3.2500000000000015e-06,0.10131699011009636,0.10120987678573241,1.0001708293748466,0.10120830942843126,0.10120919651232768,1.00017029507782,0.10120853215012891,0.10120846367095795,1.0001709821849585,0.10120854378211298,0.10120845981161987,0.9998298273703337,0.10120850613834209,0.10120849985985099,0.9998297111691824,0.10120846725732538,0.10120848138252433,0.9998294562030033
16,27647.110753071916,13.78338475550408,0.6620006999000907,289377.75785029377,2.607455756410573e-06,0.10131868170071302,0.10120846507747198,1.0001761984236583,0.1012065901993766,0.10120766628120688,1.0001755684619777,0.10120683645674848,0.1012067714928295,1.000176382285386,0.1012068692289743,0.10120676387572178,0.9998245937288015,0.10120682291005315,0.10120681448865623,0.9998244521127683,0.10120677575639622,0.10120679745818184,0.999824133313146
17,27647.454276472537,13.783444187668735,0.6167238561902195,288683.1969136618,2.0528000059646e-06,0.10132001522814696,0.10120732974636906,1.0001804225501028,0.10120523929663014,0.10120644161799976,1.0001797309916063,0.10120550497568018,0.10120543828869218,1.0001806232349082,0.10120554697952125,0.101205427487621,0.999820456415101,0.10120549449172937,0.10120548565850938,0.9998202978740957,0.10120544268193754,0.10120546848893236,0.9998199389339962
18,27647.7765556123,13.783492891676325,0.615293559152633,288633.3610449629,1.6028856829700269e-06,0.10132105729472696,0.10120643548277174,1.0001837163764453,0.10120418823749187,0.1012054733293512,1.000182989219845,0.10120446041898405,0.10120439583702923,1.0001839370024685,0.10120451224396125,0.10120438154083929,0.9998172178633075,0.10120445555763317,0.10120444580133116,0.9998170456384871,0.10120440031577793,0.10120442871370851,0.9998166587357866
19,27648.013110390646,13.783533955794674,0.6236507170833647,287751.59454817843,1.2713832064634127e-06,0.10132188458850618,0.10120571876608202,1.0001863251798326,0.10120335829691889,0.10120469489010375,1.0001855791989376,0.1012036299234298,0.1012035683714461,1.0001865626098254,0.10120368999153925,0.10120355126170673,0.9998146436171527,0.10120363031712662,0.10120361963256619,0.9998144608009911,0.10120357251206445,0.10120360256892753,0.9998140538013068
20,27648.18677321478,13.783597760264408,0.6429732339456677,205376.50883511902,1.068365111445064e-06,0.10132259270060845,0.10120511285370909,1.0001885096296772,0.10120279909326581,0.1012040117966022,1.0001877759118194,0.10120294689850519,0.10120287750528954,1.0001887802097718,0.10120300165435314,0.10120289481358995,0.999812594644233,0.10120292975152688,0.10120293123083558,0.999812433225213,0.10120285523754617,0.10120288562079001,0.9998118801106702
