repeat,K,mean,worst,cvar_0.01,cvar_0.05,cvar_0.1
3,13,0.00013052102776230228,0.00038643862209568206,0.00038154619871966927,0.00031474801624051057,0.000275722545815393
3,14,0.00010755271572689389,0.00033574573534511,0.00032693284311485326,0.0002691175494782752,0.000233703851786876
3,15,8.953953653158851e-05,0.00029337427887858337,0.00028209897751499955,0.00023222918826965836,0.00020018483759359657
3,16,7.522245690469978e-05,0.0002575820410885321,0.00024686459839519967,0.00020188481270549092,0.00017283501259615332
3,17,6.370741408796138e-05,0.00022708282150935949,0.00021716474638797803,0.00017678676826392607,0.00015031251814493456
3,18,5.434754243291529e-05,0.00020090526592700175,0.00019191195424823502,0.00015591341618885818,0.00013151123799409048
3,19,4.666694740289305e-05,0.0001783005432135086,0.00017027821758953536,0.00013821731978417415,0.00011571694775234308
3,20,4.03102171040857e-05,0.00015868065050626758,0.00015162278930601038,0.0001231031813327237,0.00010234236206664882
3,21,3.500828452386252e-05,0.0001415763366979117,0.0001354425388264661,0.00011014349261768555,9.095598870102672e-05
3,22,3.055491339746293e-05,0.0001266078272656671,0.00012133718619748645,9.90175637746866e-05,8.120246490437547e-05
3,23,2.6790227523851965e-05,0.00011346404630974824,0.0001092410621599722,8.932352405994848e-05,7.288396695448184e-05
3,24,2.3588996014609363e-05,0.00010188757368851523,9.949768505498984e-05,8.083606817495324e-05,6.5689358747529e-05
3,25,2.0852183734692567e-05,9.166353930556123e-05,9.084692431192877e-05,7.337207197266826e-05,5.942932341609279e-05
3,26,1.850077783338205e-05,8.366734984551089e-05,8.313930912775389e-05,6.690043607669252e-05,5.392547529884937e-05
3,27,1.647122323591049e-05,7.792202940698652e-05,7.656219909360308e-05,6.117884636988295e-05,4.906499297640855e-05
3,28,1.4712010292701384e-05,7.271424373677766e-05,7.131678353395203e-05,5.608585330548236e-05,4.4757274327221846e-05
3,29,1.3181097417084451e-05,6.797719311064618e-05,6.656917126897797e-05,5.153740651135854e-05,4.0926747630336763e-05
3,30,1.1843945636395413e-05,6.365472119353736e-05,6.225815383869437e-05,4.74778295573643e-05,3.75099922618017e-05
4,1,0.01791381448171444,0.029062145431248874,0.028886556298391507,0.02567799732042784,0.023540139872541853
4,2,0.006007631840289909,0.009525516687719608,0.00946202651577473,0.00816403427589899,0.007810291457168442
4,3,0.0030617806280649174,0.005469094132126708,0.005379556248118743,0.004458246706372261,0.00419491795888219
4,4,0.001813110423164416,0.0035230273010821013,0.0034430548544847374,0.0028154307159808196,0.0026213784286177977
4,5,0.001171812993036258,0.002425830810623598,0.0023619836092525354,0.0019237200081882906,0.0017756256392520552
4,6,0.0008040021685344995,0.001746792257013168,0.0016976214505529308,0.0013876556563265597,0.0012743657551708436
4,7,0.0005766879490382592,0.0012993396419551777,0.001262084647821304,0.0010439437789553562,0.0009534138291983173
4,8,0.0004281634642977485,0.0009907257874193917,0.0009628241748472955,0.0008113925048457021,0.00073696559402239
4,9,0.00032680324884746506,0.0007703078343228778,0.0007555477305915034,0.0006444470527319002,0.0005845485457032434
4,10,0.000255154405398734,0.0006084644235121992,0.000604863602262659,0.0005223331562751576,0.00047283704140611984
4,11,0.00020301190293635168,0.0004948754824864196,0.0004909013585164298,0.00042981382687344203,0.0003887650455965673
4,12,0.0001641226663178618,0.00041210531178212005,0.00040302379427462873,0.00035796110146777457,0.0003245730366448617
4,13,0.00013450345728244123,0.00034661740228228134,0.00033722070150671903,0.0003011714763420956,0.0002745765097279595
4,14,0.0001115321847014985,0.00029405954744920256,0.0002913507059963471,0.00025578659547257395,0.00023436573756233488
4,15,9.343329705515307e-05,0.000256097002977684,0.00025372822160046405,0.00021972858704502672,0.0002015851035867789
4,16,7.897447567440989e-05,0.00022871123639528213,0.0002225042443845095,0.00019105474613667037,0.00017454922235602305
4,17,6.728163135915053e-05,0.00020540684619193406,0.0001963216853798683,0.00016745978240761278,0.00015231626777881756
4,18,5.772264552825425e-05,0.00018538249398689031,0.00017416602149379937,0.00014756376897337822,0.00013381650057056564
4,19,4.9832370847661905e-05,0.00016803151489768226,0.0001574849259331195,0.00013111221540328992,0.00011810821963669001
4,20,4.326310915296025e-05,0.00015288694079442958,0.0001445745123857584,0.00011697305216387482,0.0001046773533230364
4,21,3.7751222991664865e-05,0.00013958378803652103,0.0001331336283913425,0.00010483360475548045,9.313351174502642e-05
4,22,3.3094196818212585e-05,0.00012783273077293986,0.00012294023072859114,9.459516905979642e-05,8.326007224551071e-05
4,23,2.9134605259984865e-05,0.00011740142354864992,0.00011381536995022184,8.56019525349144e-05,7.467023362473889e-05
4,24,2.5748731769244675e-05,0.00010810104987110436,0.00010561294864265483,7.774471022114552e-05,6.727227400750915e-05
4,25,2.2838371398253088e-05,9.977649616086947e-05,9.821230474846629e-05,7.078101939262969e-05,6.078554190561675e-05
4,26,2.032484768173656e-05,9.22990765471617e-05,9.15127535324654e-05,6.45877599077398e-05,5.506057299597358e-05
4,27,1.814459122473808e-05,8.556107636913298e-05,8.542950912784318e-05,5.906655186484371e-05,4.9991218506777535e-05
4,28,1.6245834490294084e-05,8.03095763829037e-05,7.989059255757325e-05,5.4175968068319574e-05,4.5509684877840686e-05
4,29,1.4586114256011721e-05,7.571548030229298e-05,7.483445539250628e-05,4.993062541714489e-05,4.1539802491799605e-05
4,30,1.3130365258110332e-05,7.147579224694429e-05,7.020812979972806e-05,4.61025091757373e-05,3.79905116659494e-05
5,1,0.017632085080362916,0.02608702090607657,0.025353311732830383,0.02347990947204045,0.02272517327313737
5,2,0.005905612517779403,0.00929894524633288,0.009096859745482525,0.008270602395939691,0.007853196688400762
5,3,0.003003824783629074,0.0052800698786240816,0.005103525093467617,0.004499422756426039,0.004253919657674165
5,4,0.0017759936006114274,0.003409955379142952,0.003265020280043841,0.002825223746466954,0.002657399619696219
5,5,0.0011461623046539304,0.002367855733922978,0.0022492652291197833,0.0019287319736059339,0.0018014058948817187
5,6,0.0007851897487624404,0.0017274640391946063,0.0016290819996150683,0.0013929670653000069,0.001287744398394804
5,7,0.0005621646529603406,0.0013066708144957415,0.0012238771089366912,0.0010463943602541065,0.0009565501446085728
5,8,0.0004164672846398261,0.001016087159075898,0.0009665967458719551,0.0008088288643051764,0.0007338420164468574
5,9,0.0003170626585696322,0.0008075892608974828,0.0007833123635986078,0.0006418473349821932,0.0005780894332397645
5,10,0.00024683057427396797,0.0006533787877628451,0.0006450148572483588,0.0005214848631834386,0.0004652356668551275
5,11,0.00019575964882871216,0.0005393699223262509,0.0005379230175608662,0.0004306426360514799,0.0003815426395451656
5,12,0.00015771282075094088,0.0004605106172665045,0.0004532696530250996,0.00036047339049401477,0.00031719646663813737
5,13,0.00012877822560578096,0.0003956267906899715,0.00038523102602833236,0.00030566041661303283,0.00026695636887735514
5,14,0.00010637880992245659,0.0003416247671369931,0.00032979491542987807,0.00026149614703908745,0.00022715100715536623
5,15,8.876817042574937e-05,0.0002962699546417743,0.00028411047193575216,0.0002254269326988449,0.00019540282279195283
5,16,7.473335483533487e-05,0.0002578976612253008,0.000246098339948994,0.0001956240807019719,0.00016926748361710352
5,17,6.341350486915971e-05,0.00022523604071154638,0.0002142077792076536,0.0001709878023103643,0.00014780257006572682
5,18,5.41858146247245e-05,0.00019729322306519546,0.0001872601530538982,0.0001504073169629263,0.0001299468377473457
5,19,4.659190145243083e-05,0.00017328264869254583,0.0001643449846701486,0.00013301159264841964,0.0001148123197967973
5,20,4.028914307773936e-05,0.00015257199253575354,0.00014474904575304106,0.00011811162564557588,0.0001018565842565715
5,21,3.501783510912788e-05,0.00013464716491562155,0.00012790680976993942,0.0001052715342442364,9.069644056485273e-05
5,22,3.057860354931859e-05,0.00011908626302058517,0.00011336508952190991,9.423211192736237e-05,8.102938331766174e-05
5,23,2.6816601958021212e-05,0.0001055402873957421,0.00010075731766901922,8.466090077295798e-05,7.261382874132043e-05
5,24,2.3610281197988386e-05,9.371858336538494e-05,8.986430865293317e-05,7.626931706905947e-05,6.525482556005202e-05
5,25,2.0863293400909694e-05,8.337766337052675e-05,8.122602544013505e-05,6.888333345570081e-05,5.879356483390189e-05
5,26,1.849857776693282e-05,7.43125009830007e-05,7.359591225486662e-05,6.235944079372157e-05,5.309956993128018e-05
5,27,1.6453987034890978e-05,6.732488253569904e-05,6.683727439178483e-05,5.6578388588882825e-05,4.8064806323691226e-05
5,28,1.4679016335004719e-05,6.23277484794703e-05,6.083480198401455e-05,5.144039375921826e-05,4.3599186103076174e-05
5,29,1.3132330555117211e-05,5.781794316834312e-05,5.549071775696699e-05,4.6861432608098945e-05,3.96270990788496e-05
5,30,1.1779876764472425e-05,5.373627476366296e-05,5.072171838841934e-05,4.2770341669747486e-05,3.6084708715653826e-05
6,1,0.017760991009262463,0.028784209950512698,0.0271284238950582,0.024315700450614087,0.02315350963115295
6,2,0.005958858517393611,0.010515725124802283,0.009516765372537508,0.008263267486584087,0.007911421635163436
6,3,0.003032855847359247,0.005761256142589294,0.0051930907029784975,0.00446504926146169,0.004221882771498604
6,4,0.0017912053929093918,0.0036860561411425396,0.0032870340703511124,0.002783152975095185,0.0026201289176607046
6,5,0.001154344074684338,0.0025592806976981125,0.002248323341276277,0.0018794780228687125,0.0017679877179210064
6,6,0.000789902187523715,0.0018772420542189372,0.0016355420238778062,0.0013469532148707606,0.0012602205990661108
6,7,0.0005652509173106727,0.0014329372585181626,0.0012489968262360714,0.0010086695179357015,0.0009357348360255361
6,8,0.0004188686002902936,0.0011272306661255836,0.0009834665020730486,0.0007779770805407791,0.0007181137931874676
6,9,0.0003192469710531675,0.00090779257003586,0.0007931358392567962,0.0006141990331574519,0.0005648965550690242
6,10,0.0002490152211562506,0.0007448797919676171,0.0006520064747893909,0.0004941088362098508,0.0004531540732658873
6,11,0.00019802992004109454,0.0006205708475740448,0.0005444303512325179,0.0004039495334427221,0.000370197244242553
6,12,0.00016008613118940896,0.0005235429415564754,0.0004605296353269794,0.00033550080203536295,0.00030691395084184956
6,13,0.000131239137667147,0.00044635491556777187,0.0003938184924307082,0.00028221663799540104,0.00025734988345854626
6,14,0.0001088980869912689,0.00038395100673959304,0.0003398948057307374,0.00024072608311046778,0.00021801656740544215
6,15,9.131294840716766e-05,0.00033279678045106576,0.00029568500255150817,0.000207106411793312,0.00018639004066162184
6,16,7.727233414640688e-05,0.00029035956151038145,0.00025898999391070515,0.00017955265516047888,0.00016082637501418315
