iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7,tau_8,sigma_8,theta_8
10,18317.352756833545,10.809914313840252,2.495439833961427,149238.57741613899,7.0390906449655104e-06,0.10130182104568212,0.10130136854636701,1.0001222116308952,0.10128042826074977,0.10122376626724017,1.0000225694383795,0.10122377191290735,0.10122347704922302,1.0001231982786603,0.10122370013585306,0.10128158965935552,0.9998852121402564,0.10122348985554491,0.10122375105061028,1.0001225277250374,0.10122368213691646,0.10122441394099077,0.9999681426351396,0.10122353103120396,0.1012235391124967,0.9998786778686481,0.10122367408532913,0.10122358366539705,0.9998773102259766,0.10122382408064284,0.10130191100061113,0.9998763664204622
11,18317.96738306616,10.810139969163501,2.5239206459373236,150068.06534540662,6.281416799501188e-06,0.10130575204969562,0.10130524943725695,1.0001345822797418,0.10128235153618591,0.10121985810011053,1.0000278323390641,0.10121984476918754,0.10121954361456767,1.0001356204751615,0.10121976888508402,0.10128262569879555,0.9998734524484135,0.10121949941207124,0.10121981511740846,1.0001346964837168,0.10121979813387784,0.10122056577066943,0.9999733325035441,0.10121959443329874,0.10121959358651865,0.9998665595918672,0.10121973692621113,0.10121964093193449,0.9998649984267601,0.10121988869417944,0.10130585412743795,0.9998638486397816
12,18318.518656055403,10.810300254662298,2.504849597113207,149135.72362751956,5.500000000000001e-06,0.10130922286563754,0.10130868592382843,1.0001455255305183,0.10128385610320521,0.10121641431181146,1.0000321029079084,0.10121637302398116,0.10121607900879402,1.000146573842425,0.10121630126808917,0.10128374669653696,0.9998630561906237,0.10121597093170326,0.10121633746961758,1.0001453997760734,0.10121638189437288,0.10121715219160267,0.9999788085006969,0.10121612769998978,0.10121611313338541,0.9998559103257548,0.10121626059412794,0.10121616322093033,0.9998541477491295,0.10121642026329802,0.1013093325502294,0.9998528006716196
13,18318.99900091362,10.810405408589354,3.1978709930554032,148220.6088998523,4.718583200498814e-06,0.10131222192145573,0.10131166270260332,1.0001549988816938,0.10128498472406924,0.10121344708872532,1.0000356148812335,0.10121336921010032,0.10121309237019449,1.0001560174900528,0.10121330969138732,0.10128487918846833,0.9998540844126058,0.10121291849484586,0.10121333155452299,1.000154612046258,0.10121344322633945,0.10121419042288139,0.9999842492282922,0.10121314120208563,0.10121310865134335,0.9998467628900779,0.10121325788279119,0.10121316365437148,0.9998447985174606,0.1012134289532286,0.10131233437908586,0.9998432558745612
14,18319.38465337932,10.810456725904022,2.3973014729563147,152238.76401264887,3.960909355034493e-06,0.10131474033072277,0.10131418571876386,1.0001629870200974,0.10128576926798079,0.1012109760455854,1.0000380341843698,0.10121082787993066,0.10121058386491853,1.0001639562044478,0.10121080069787128,0.10128595956307203,0.9998468749207448,0.10121034163343784,0.10121079333461243,1.000162380677617,0.10121096399686609,0.10121168785613424,0.9999889503775256,0.10121062162432491,0.10121058198208302,0.9998390296811521,0.10121072150191197,0.1012106344354436,0.999836883466491,0.10121089794611351,0.1013148661026984,0.9998351997839688
15,18319.759138673384,10.81048383142653,2.423257209127769,149140.58791954003,3.2500000000000015e-06,0.10131681754817032,0.10131626644020612,1.0001695773630446,0.10128633115914949,0.1012089362483031,1.0000398891220315,0.10120873327420901,0.1012085173405608,1.0001704976196506,0.10120873177308888,0.10128693100471374,0.9998408702748781,0.10120821739208646,0.10120870126773326,1.0001687705819624,0.10120892608271591,0.10120962031649489,0.999993210139062,0.10120854863170213,0.10120849948310266,0.9998326795929892,0.10120863160154729,0.10120855114172722,0.9998303715776079,0.10120881463459915,0.10131695121959619,0.9998285632433263
16,18320.04241774589,10.8105088247189,2.524412926984951,153181.22295391982,2.607455756410573e-06,0.10131848765600915,0.10131793723764398,1.0001748803439718,0.10128679202606669,0.10120728988023293,1.0000414029970297,0.10120704776261844,0.10120685441471794,1.0001757581105606,0.10120706709407058,0.10128770615803113,0.9998360391127701,0.10120650830161282,0.10120701829784592,1.0001739177913298,0.10120728576912966,0.10120796196933121,0.9999969167788159,0.1012068773722343,0.10120682329559035,0.9998275429509035,0.10120695010640612,0.10120687551123884,0.9998251290657447,0.10120713031010135,0.10131862789216953,0.9998232208174868
17,18320.266970884404,10.810519476058172,2.467210941016674,149448.4364390624,2.0528000059646e-06,0.10131980755943,0.10131925814047112,1.0001790733762153,0.10128710827248408,0.10120599007109699,1.0000425552965255,0.10120571622459644,0.10120554260903364,1.0001799090855898,0.10120575245903007,0.10128837059049534,0.9998322072781887,0.101205158630909,0.10120568890840811,1.000177977878525,0.10120599246027535,0.10120664921446865,0.9999999804675935,0.10120555957526932,0.10120549989902548,0.9998234980463488,0.1012056224610607,0.101205553244847,0.9998209950434234,0.10120580240713915,0.10131995132793077,0.9998190038426265
18,18320.460454632484,10.810601179975812,2.5619811839424074,171910.59774392023,1.6028856829700269e-06,0.10132084433836762,0.10132025663505322,1.0001823255514366,0.10128763303479911,0.1012049465255947,1.0000442520303596,0.10120469867903703,0.10120450259049554,1.0001831904483782,0.10120471954277895,0.10128837518853927,0.9998291241884756,0.10120411222187939,0.10120466092565492,1.0001811931516813,0.10120496163721131,0.10120566604995206,1.0000022543536167,0.10120451246491655,0.10120446357378222,0.9998202233618895,0.1012045968878158,0.10120451659041359,0.99981776598693,0.10120474901341228,0.10132098981144529,0.9998157189866965
19,18320.5717503682,10.810646901528237,2.4310437249951065,147027.6252667298,1.2713832064634127e-06,0.1013216662195817,0.10132106032184046,1.000184917104419,0.10128797384696413,0.10120413129191107,1.0000453571071186,0.10120388467727096,0.10120367984187834,1.0001857925310746,0.10120390130673716,0.10128845924908435,0.9998267241318916,0.10120327917554188,0.10120384056572976,1.0001837420161217,0.10120414570658497,0.10120487318220413,1.0000040138480146,0.10120368504123722,0.1012036417855294,0.9998176527113106,0.10120377913004351,0.10120369290889492,0.9998151943172395,0.10120391983130958,0.1013218158640762,0.999813106041248
20,18320.71717107677,10.810679818444235,2.530110731953755,149159.59357704147,1.068365111445064e-06,0.10132235853149033,0.10132173966299807,1.0001871023815205,0.10128823712738957,0.10120344612296817,1.000046234505169,0.10120319786487843,0.10120298855437065,1.0001879806107403,0.10120321217497402,0.10128856271695086,0.999824689563768,0.10120257697644376,0.10120314901980737,1.0001858815072213,0.10120346146286685,0.10120420113919608,1.0000055780378352,0.10120299084929381,0.10120294978158767,0.9998155068358476,0.10120308980007967,0.1012029999056018,0.9998130325850375,0.10120322406569839,0.10132251064639625,0.9998109065354258
