iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5
15,0.0784939368405832,0.025282307436240818,0.001560125034302473,0.052316051424535825,0.0028007199999999996,1.2973879248538078,1.2973312989554642,1.2972971137438263,1.297273370302443,1.2972557506286038,1.2972417081374763
16,0.07404161908620119,0.02509006808569336,0.0016549589927308261,0.04958106840116073,0.0030007000000000002,1.3042102482630689,1.3041380647424818,1.3040961204157784,1.3040671562836035,1.3040458886690016,1.304029201740689
17,0.07834281483234147,0.02488659827403678,0.0016138750361278653,0.05160533911820611,0.00320068,1.311518310657396,1.3114196655503523,1.311369620848878,1.3113363107385003,1.311312596343821,1.3112945293206135
18,0.07891189743803702,0.024672099692396456,0.0016443339991383255,0.051842079294459706,0.0034006600000000007,1.3193156574951423,1.3191877584504093,1.319128485574744,1.319090080250902,1.3190634323410968,1.319043696125738
19,0.07920114346919634,0.024447077024817302,0.0016292909858748317,0.05117702449301809,0.0036006399999999996,1.3275989765240082,1.3274401724887746,1.32737009673766,1.3273261762864812,1.3272969733443265,1.327276408363847
20,0.07584945486041005,0.024212195924712476,0.0015898750280030072,0.05027384459240979,0.0038006199999999993,1.336363674545166,1.336168181704138,1.3360874790140087,1.3360374485463222,1.3360047888024158,1.3359823681553686
21,0.07098162576836523,0.02396887691404555,0.001588249986525625,0.048213312312548315,0.0040006,1.345594490161419,1.3453453183377844,1.3452437134910664,1.3451803823619604,1.3451389549823134,1.3451105564802124
22,0.07071159104676424,0.023717360599667933,0.0016043340438045561,0.04775182339016267,0.004200579999999999,1.3552894335262184,1.354974440049945,1.3548470030495683,1.3547660394751817,1.3547121006493843,1.3546744981926542
23,0.0686793733439419,0.0234585641763588,0.0015557080041617155,0.04653087894610228,0.0044005599999999995,1.3654408778495668,1.365038778708347,1.3648769388663062,1.3647726474234785,1.364701884430214,1.3646515540622683
24,0.07398825254783195,0.023191510719660115,0.0015983330085873604,0.049078838820867776,0.004600539999999999,1.376090423289741,1.3755900540822408,1.37539001673208,1.375260286666568,1.3751712643433676,1.3751071185583057
25,0.07372140119520725,0.022916867267580045,0.0015982080367393792,0.0483851496734567,0.00480052,1.3872339086298344,1.3866225730565154,1.3863793754385283,1.3862212582438642,1.3861123613763,1.386033600991537
26,0.07098735997514558,0.022635677385464084,0.0017836250481195748,0.04731410228371453,0.0050005,1.3988645094922285,1.3981163188374544,1.3978214027766418,1.3976293487300506,1.3974963987498517,1.3973996262679267
27,0.06419765461496445,0.022349926480802605,0.0015514160040766,0.044107623987163655,0.0052004799999999995,1.4109354609408495,1.4100173062144437,1.4096540356632976,1.4094160709256605,1.4092495546658323,1.40912675110794
28,0.07098308164931828,0.02205838103763886,0.001710625016130507,0.047080965790252664,0.00540046,1.423514174541368,1.422386689278138,1.4219428474859392,1.421651260752799,1.4214457438195858,1.4212927936972108
29,0.06740944103836936,0.021762245196040753,0.0016661250265315175,0.04546945194402177,0.00560044,1.436576746709293,1.4352035583804024,1.4346594861701694,1.4343001452429591,1.434044903669866,1.4338534367501226
30,0.07030051166734852,0.02146106257109281,0.0015772090409882367,0.04623196240046898,0.00580042,1.4501457149692976,1.4484960544694734,1.4478412054173064,1.447407328784226,1.4470978297568222,1.446864743940252
