K,eps_idx,eps,alpha,mro_sol,solvetime,dro_feas_sol
9.0,1.0,0.21544346900318834,0.1,1.3398542901368613,3.906440346,1.3398542901368613
9.0,2.0,0.46415888336127786,0.1,1.5623693293718859,4.182934746,1.5623693293718859
9.0,3.0,1.0,0.1,1.6857890261242876,3.34060451,1.6857890261242876
9.0,4.0,2.1544346900318834,0.1,1.7819795472835493,3.419295788,1.7819795472835493
9.0,5.0,4.6415888336127775,0.1,1.941573489044673,3.305086724,1.941573489044673
9.0,6.0,10.0,0.1,2.2128959671436728,3.362614131,2.2128959671436728
10.0,0.0,0.1,0.1,0.8849201592365009,4.626227947,0.8849201592365009
10.0,1.0,0.21544346900318834,0.1,0.9726276575645939,5.2278515819999996,0.9726276575645939
10.0,2.0,0.46415888336127786,0.1,1.1323212899424195,4.403831352,1.1323212899424195
10.0,3.0,1.0,0.1,1.1770027367413625,4.459699509,1.1770027367413625
10.0,4.0,2.1544346900318834,0.1,1.2391874687544504,4.308941608,1.2391874687544504
10.0,5.0,4.6415888336127775,0.1,1.3440336037433493,4.349623093,1.3440336037433493
10.0,6.0,10.0,0.1,1.521905477612441,4.196094191,1.521905477612441
11.0,0.0,0.1,0.1,0.6149977233340029,7.392018285,0.6149977233340029
11.0,1.0,0.21544346900318834,0.1,0.6903943266847188,7.890354619,0.6903943266847188
11.0,2.0,0.46415888336127786,0.1,0.7648389281161079,6.719051845,0.7648389281161079
11.0,3.0,1.0,0.1,0.789335191417864,6.181379676,0.789335191417864
11.0,4.0,2.1544346900318834,0.1,0.8285528892073892,6.364878473,0.8285528892073892
11.0,5.0,4.6415888336127775,0.1,0.8957655723525674,6.009063563,0.8957655723525674
11.0,6.0,10.0,0.1,1.0095874538051257,6.51477492,1.0095874538051257
12.0,0.0,0.1,0.1,0.4707994624078243,9.131251727,0.4707994624078243
12.0,1.0,0.21544346900318834,0.1,0.5369730189995088,10.540822603,0.5369730189995088
12.0,2.0,0.46415888336127786,0.1,0.5592938266070264,8.931391372,0.5592938266070264
12.0,3.0,1.0,0.1,0.5750724999904586,8.372977329,0.5750724999904586
12.0,4.0,2.1544346900318834,0.1,0.601508889437622,7.975651231,0.601508889437622
12.0,5.0,4.6415888336127775,0.1,0.6470439878744841,7.756032286,0.6470439878744841
12.0,6.0,10.0,0.1,0.7233354038082943,8.238396395,0.7233354038082943
13.0,0.0,0.1,0.1,0.37936759423476263,11.737718359,0.37936759423476263
