iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,beta0,beta1
12,14.213521491747297,0.08104756590653492,0.0019677920499816537,169.73153582844412,2.9800000000000003e-06,1.2499466039524818,1.2499466032725601,-2.387969572106794e-05,0.2817535251253208
13,14.213599465888173,0.08104813832507073,0.001939708017744124,169.72980009145903,3.1600000000000002e-06,1.2499395383981702,1.2499395374560698,-2.7039580564198065e-05,0.2817535251253208
14,14.213682149982395,0.08104874334916941,0.0018972500110976398,169.7279548402841,3.340000000000001e-06,1.2499320704560382,1.249932069178563,-3.0379432786208267e-05,0.2817535251253208
15,14.21376954400181,0.08104938097862367,0.0022895410074852407,169.72600878870438,3.520000000000001e-06,1.2499242001424842,1.2499241984424647,-3.389924671759092e-05,0.2817535251253208
16,14.213861647939122,0.08105005121320048,0.0019895409932360053,169.72395050868377,3.700000000000001e-06,1.2499159274750478,1.2499159252503838,-3.759901627084283e-05,0.2817535251253208
17,14.21395846177793,0.08105075405239842,0.001983374997507781,169.7217946847196,3.880000000000001e-06,1.2499072524759902,1.2499072496071273,-4.1478733339649895e-05,0.2817535251253208
18,14.214059985466285,0.08105148949581406,0.002002707973588258,169.71955976605287,4.060000000000002e-06,1.2498981751674954,1.2498981715156428,-4.5538389945124974e-05,0.2817535251253208
19,14.214166218965518,0.08105225754289827,0.0019075829768553376,169.71714974828905,4.240000000000001e-06,1.2498886955740327,1.2498886909811042,-4.97779771790742e-05,0.2817535251253208
20,14.214277162213953,0.08105305819308214,0.0020099160028621554,169.7146941671781,4.420000000000001e-06,1.2498788137217152,1.2498788080078336,-5.4197485491699695e-05,0.2817535251253208
21,14.214392815149862,0.08105389144566541,0.0021914999815635383,169.71211465069123,4.600000000000001e-06,1.2498685296398908,1.2498685226003126,-5.879690397966787e-05,0.2817535251253208
22,14.21451317768864,0.08105475729985331,0.0020552080241031945,169.7094322431327,4.78e-06,1.2498578433597998,1.249857834764224,-6.357622098632588e-05,0.2817535251253208
23,14.214638249734126,0.0810556557550495,0.0019522500224411488,169.70664615917562,4.96e-06,1.249846754911226,1.24984674450238,-6.853542560018623e-05,0.2817535251253208
24,14.214768031216966,0.08105658681035185,0.0019394170376472175,169.70375088072242,5.140000000000001e-06,1.2498352643294195,1.2498352518197806,-7.367450455830432e-05,0.2817535251253208
25,14.214902522022381,0.08105755046474257,0.0019204580457881093,169.70075151734795,5.320000000000001e-06,1.2498233716519382,1.2498233567226251,-7.899344365909347e-05,0.2817535251253208
26,14.215041722020239,0.08105854671723052,0.0018635830492712557,169.69765087802452,5.500000000000001e-06,1.2498110769170585,1.2498110592162714,-8.449222847334746e-05,0.2817535251253208
27,14.21518563108227,0.08105957556673246,0.0020771250128746033,169.6944466238243,5.680000000000001e-06,1.2497983801655161,1.2497983593062452,-9.017084356530593e-05,0.2817535251253208
28,14.215334249066927,0.08106063701226253,0.0020508330198936164,169.69110549171953,5.860000000000001e-06,1.249785281437364,1.2497852569972485,-9.602927389833893e-05,0.2817535251253208
29,14.21548757584943,0.0810617310524078,0.002000209002289921,169.6877176765568,6.0400000000000015e-06,1.2497717807805238,1.2497717522961436,-0.0001020675010100252,0.2817535251253208
30,14.215645611234741,0.08106285768584201,0.002064207976218313,169.68422756751514,6.22e-06,1.2497578782424457,1.2497578452089664,-0.00010828550674217493,0.2817535251253208
31,14.215808355044967,0.08106401691110957,0.001985417038667947,169.68057944595506,6.4000000000000006e-06,1.2497435738737757,1.2497435357419127,-0.00011468327160065897,0.2817535251253208
32,14.215975807078522,0.08106520872688247,0.0019877919694408774,169.6768392927892,6.5800000000000005e-06,1.2497288677232594,1.249728823901396,-0.00012126077703509244,0.2817535251253208
33,14.216147967159928,0.08106643313165839,0.001940542017109692,169.67300544947693,6.760000000000001e-06,1.2497137598437313,1.2497137096939792,-0.00012801800275958716,0.2817535251253208
34,14.216324835083856,0.0810676901239143,0.001995750004425645,169.66906536544076,6.940000000000001e-06,1.2496982502896838,1.2496981931253734,-0.00013495492784004154,0.2817535251253208
35,14.216506410639763,0.08106897970188254,0.001966250012628734,169.66500427046148,7.120000000000001e-06,1.2496823391198566,1.2496822742034934,-0.00014207152953591418,0.2817535251253208
