iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
20,0.03310686671723043,0.008720221795584938,0.002633625001180917,0.021743532752792602,0.0003806199999999999,1.2585239539406567,1.2585238984700742,1.2585248179718476,1.258525666083053,1.2585263625280547,1.2585269588224686,1.2585274976457328,1.2585280040170195,1.258528490403351,1.2585289608016836,1.2585294117850416,1.2585298264145484,1.2585301200523975
21,0.031047376949330782,0.008709537720254162,0.0027077500126324594,0.02168304946133465,0.0004006,1.2594150669640722,1.2594142322942834,1.2594147542468563,1.2594152721899792,1.2594156755764079,1.2594160112778223,1.259416318160999,1.2594166175056594,1.2594169183374329,1.2594172214936095,1.2594175204245408,1.259417794221589,1.2594179475765523
22,0.03586576622517714,0.008698293528159751,0.0026499159866943955,0.023421501962190228,0.00042057999999999993,1.2603532067241483,1.2603514872306414,1.2603519556067275,1.2603524681123153,1.2603528703431464,1.260353212946375,1.2603535374804598,1.2603538656486915,1.2603542058022437,1.2603545575880095,1.2603549128089968,1.2603552476893194,1.2603554567630015
23,0.03716815348795583,0.008686458128706538,0.002697874966543168,0.024536249097432874,0.0004405599999999999,1.2613412421936883,1.261339056545546,1.2613395841822452,1.261340256330281,1.2613408557809722,1.2613414151021187,1.261341966611898,1.2613425265581117,1.2613430999352395,1.261343684183433,1.2613442693031378,1.261344828892302,1.2613452474232556
24,0.03353381082975975,0.008674113741450922,0.0026301249745301902,0.02257877075742237,0.00046053999999999995,1.2623731276503647,1.2623710403934256,1.2623718006866411,1.2623727074549853,1.262373538160458,1.262374326934822,1.2623751051029486,1.2623758873732822,1.2623766774916092,1.2623774719476697,1.2623782597274755,1.2623790122622198,1.2623796038936492
25,0.030977543125906667,0.008661329858654487,0.002722958044614643,0.021506630414614307,0.0004805199999999999,1.2634461459590995,1.263444009245242,1.263444534626468,1.2634451881052333,1.2634458015104744,1.2634464125575393,1.2634470447404913,1.2634477041627035,1.2634483874889042,1.2634490856800076,1.263449783134785,1.26345044626996,1.2634509367069406
26,0.035781575393135916,0.00864798283464609,0.0027842080453410745,0.023816615556285097,0.0005005,1.2645678668343934,1.2645658715980583,1.2645663098087176,1.2645669054878634,1.2645674994993978,1.2645681130654725,1.2645687568613069,1.2645694294926142,1.264570123518988,1.2645708275513525,1.2645715242160274,1.264572177196845,1.2645726368547807
27,0.03382441787014475,0.008634147593564087,0.0026736659929156303,0.02244245600809242,0.00052048,1.2657337607597139,1.2657313357929736,1.2657317557036387,1.2657323300982208,1.2657328989191805,1.265733487958222,1.2657341083313343,1.2657347579980138,1.2657354288296356,1.2657361087829746,1.2657367795389447,1.2657374023896415,1.2657378162068493
28,0.03366806425981191,0.008619811950202925,0.002747542050201446,0.022988298160110474,0.00054046,1.2669464459634194,1.2669423065651877,1.2669424149941202,1.266942854581925,1.2669433116902769,1.2669437904034337,1.2669442974759015,1.2669448297884054,1.2669453790969285,1.2669459334595754,1.2669464743031478,1.2669469610457778,1.266947221107028
29,0.03511978602690407,0.008604944454470772,0.0028724170406349003,0.023506378263515135,0.00056044,1.2682075563767232,1.2682010904647012,1.2682007268960998,1.2682010197736515,1.2682014049070505,1.2682018341392183,1.268202299013875,1.2682027909023577,1.2682032992734664,1.268203810994498,1.2682043063368829,1.2682047421117766,1.268204933332668
30,0.03331670788128839,0.008589615243533844,0.0027397500234656036,0.022439181943965276,0.0005804199999999999,1.269512821345929,1.2695035707283637,1.269502290957309,1.2695020635899936,1.2695020630001028,1.2695021755260927,1.2695023685625302,1.2695026215575491,1.2695029167994416,1.2695032361089924,1.2695035555010454,1.2695038266090044,1.2695038495779025
31,0.03332610262541663,0.008573867539973417,0.0026601250283420086,0.021946299377851208,0.0006004,1.2708614880123419,1.2708468396494597,1.2708434898637537,1.270842053617764,1.2708412256246941,1.2708407381207125,1.270840487348633,1.2708404124276462,1.270840469897131,1.2708406237155216,1.2708408364156478,1.270841047546266,1.270841036767683
32,0.034099432403835644,0.008557613551486806,0.0026801249478012323,0.02291501607752193,0.00062038,1.2722563291860858,1.2722367639399144,1.2722314617668449,1.2722288637638337,1.2722272365927707,1.2722261671735118,1.2722254818961498,1.2722250798778796,1.2722248924125865,1.272224866326469,1.2722249514949975,1.2722250761537284,1.2722249998216693
33,0.03223236464688628,0.008540939823822778,0.0027972920215688646,0.022257561314870018,0.00064036,1.2736958515616934,1.273669572467283,1.2736614364805405,1.2736569218979807,1.273653785516598,1.2736514684420794,1.2736497287481836,1.273648423768672,1.2736474560706388,1.2736467514584247,1.2736462434455447,1.273645845604838,1.2736452940782488
34,0.034816199283339365,0.008523771240485147,0.00274191697826609,0.02252568705250735,0.00066034,1.2751800731633716,1.2751472801653794,1.275136561759921,1.2751303753931622,1.2751260220099752,1.2751227921095758,1.2751203629514136,1.2751185398996003,1.275117189713944,1.2751162124415094,1.2751155220672097,1.275115015309628,1.2751144030294528
35,0.03384872941975299,0.008506116658566105,0.002835082996170968,0.022747446039991945,0.0006803200000000001,1.2767105280483022,1.276671141451268,1.2766578542427942,1.276650010033881,1.2766444510035566,1.2766403120958885,1.2766371856318681,1.2766348228961768,1.2766330541336037,1.2766317537189664,1.2766308166048905,1.2766301233090491,1.2766293597877287
