split,eta,arch,K,frac_solved
ood,0.0001,OPT-PEP,2,0.0
ood,0.0001,OPT-PEP,3,0.0
ood,0.0001,OPT-PEP,4,0.0
ood,0.0001,OPT-PEP,5,0.0
ood,0.0001,OPT-PEP,6,0.0
ood,0.0001,OPT-PEP,7,0.0
ood,0.0001,OPT-PEP,8,0.0
ood,0.0001,OPT-PEP,9,0.008
ood,0.0001,OPT-PEP,10,0.036
ood,0.0001,OPT-PEP,11,0.12
ood,0.0001,OPT-PEP,12,0.184
ood,0.0001,OPT-PEP,13,0.316
ood,0.0001,OPT-PEP,14,0.448
ood,0.0001,OPT-PEP,15,0.552
ood,0.001,L2O,1,0.0
ood,0.001,L2O,2,0.0
ood,0.001,L2O,3,0.0
ood,0.001,L2O,4,0.0
ood,0.001,L2O,5,0.0
ood,0.001,L2O,6,0.072
ood,0.001,L2O,7,0.088
ood,0.001,L2O,8,0.084
ood,0.001,L2O,9,0.116
ood,0.001,L2O,10,0.116
ood,0.001,L2O,11,0.08
ood,0.001,L2O,12,0.096
ood,0.001,L2O,13,0.088
ood,0.001,L2O,14,0.084
ood,0.001,L2O,15,0.084
ood,0.001,DR-L2O,1,0.0
ood,0.001,DR-L2O,2,0.0
ood,0.001,DR-L2O,3,0.0
ood,0.001,DR-L2O,4,0.056
ood,0.001,DR-L2O,5,0.292
ood,0.001,DR-L2O,6,0.492
ood,0.001,DR-L2O,7,0.728
ood,0.001,DR-L2O,8,0.896
ood,0.001,DR-L2O,9,0.968
ood,0.001,DR-L2O,10,0.984
ood,0.001,DR-L2O,11,0.984
ood,0.001,DR-L2O,12,0.996
ood,0.001,DR-L2O,13,1.0
ood,0.001,DR-L2O,14,1.0
ood,0.001,DR-L2O,15,1.0
ood,0.001,OPT-PEP,1,0.0
ood,0.001,OPT-PEP,2,0.0
ood,0.001,OPT-PEP,3,0.0
ood,0.001,OPT-PEP,4,0.0
ood,0.001,OPT-PEP,5,0.004
ood,0.001,OPT-PEP,6,0.024
ood,0.001,OPT-PEP,7,0.136
ood,0.001,OPT-PEP,8,0.336
ood,0.001,OPT-PEP,9,0.544
ood,0.001,OPT-PEP,10,0.644
ood,0.001,OPT-PEP,11,0.856
ood,0.001,OPT-PEP,12,0.896
ood,0.001,OPT-PEP,13,0.976
ood,0.001,OPT-PEP,14,0.984
ood,0.001,OPT-PEP,15,0.984
ood,0.01,L2O,1,0.0
ood,0.01,L2O,2,0.196
ood,0.01,L2O,3,0.428
ood,0.01,L2O,4,0.584
ood,0.01,L2O,5,0.476
ood,0.01,L2O,6,0.42
ood,0.01,L2O,7,0.364
ood,0.01,L2O,8,0.376
ood,0.01,L2O,9,0.272
ood,0.01,L2O,10,0.248
ood,0.01,L2O,11,0.248
ood,0.01,L2O,12,0.54
ood,0.01,L2O,13,0.352
ood,0.01,L2O,14,0.42
ood,0.01,L2O,15,0.384
ood,0.01,DR-L2O,1,0.0
ood,0.01,DR-L2O,2,0.008
ood,0.01,DR-L2O,3,0.888
ood,0.01,DR-L2O,4,0.988
ood,0.01,DR-L2O,5,1.0
ood,0.01,DR-L2O,6,1.0
ood,0.01,DR-L2O,7,1.0
ood,0.01,DR-L2O,8,1.0
ood,0.01,DR-L2O,9,1.0
ood,0.01,DR-L2O,10,1.0
ood,0.01,DR-L2O,11,1.0
ood,0.01,DR-L2O,12,1.0
ood,0.01,DR-L2O,13,1.0
ood,0.01,DR-L2O,14,1.0
ood,0.01,DR-L2O,15,1.0
ood,0.01,OPT-PEP,1,0.0
ood,0.01,OPT-PEP,2,0.0
ood,0.01,OPT-PEP,3,0.036
ood,0.01,OPT-PEP,4,0.78
ood,0.01,OPT-PEP,5,0.924
ood,0.01,OPT-PEP,6,0.976
ood,0.01,OPT-PEP,7,1.0
ood,0.01,OPT-PEP,8,1.0
ood,0.01,OPT-PEP,9,1.0
ood,0.01,OPT-PEP,10,1.0
ood,0.01,OPT-PEP,11,1.0
ood,0.01,OPT-PEP,12,1.0
ood,0.01,OPT-PEP,13,1.0
ood,0.01,OPT-PEP,14,1.0
ood,0.01,OPT-PEP,15,1.0
